unix,date,symbol,open,high,low,close,vwap,Volume ADA,Volume USD,tradecount
1609545600,2021-01-02 00:00:00,ADA/USD,0.175445,0.175668,0.174127,0.174418,0.174648,186033.85015637,32447.65207657374,35
1609459200,2021-01-01 00:00:00,ADA/USD,0.181702,0.184970,0.150000,0.175550,0.176600,37659687.99173384,6611158.226948876,5394
1609372800,2020-12-31 00:00:00,ADA/USD,0.184008,0.186319,0.175500,0.181689,0.179998,35740330.17931042,6493624.84994873,4719
1609286400,2020-12-30 00:00:00,ADA/USD,0.190900,0.193312,0.175347,0.183967,0.182643,44129350.93918970,8118344.304229911,7102
1609200000,2020-12-29 00:00:00,ADA/USD,0.176050,0.196849,0.173145,0.190482,0.185832,100299370.60701301,19105224.711965054,18568
1609113600,2020-12-28 00:00:00,ADA/USD,0.154378,0.180000,0.152594,0.176050,0.169107,50568236.51633220,8902538.038700284,10509
1609027200,2020-12-27 00:00:00,ADA/USD,0.158138,0.165940,0.149040,0.154060,0.157880,34279742.64692854,5281137.152185811,6959
1608940800,2020-12-26 00:00:00,ADA/USD,0.156979,0.162567,0.149002,0.158137,0.155655,33972968.96471440,5372383.393173041,5306
1608854400,2020-12-25 00:00:00,ADA/USD,0.153262,0.166999,0.150278,0.157460,0.157759,33399131.31072289,5259027.216186426,5426
1608768000,2020-12-24 00:00:00,ADA/USD,0.136514,0.154575,0.131520,0.153249,0.143818,26872711.06563117,4118216.098096911,4465
1608681600,2020-12-23 00:00:00,ADA/USD,0.156796,0.158003,0.125675,0.136630,0.143358,41222707.47953420,5632258.522928758,6535
1608595200,2020-12-22 00:00:00,ADA/USD,0.152774,0.174500,0.149000,0.156969,0.156794,33067596.24660527,5190587.515233383,4157
1608508800,2020-12-21 00:00:00,ADA/USD,0.162057,0.166040,0.146452,0.152800,0.153998,22677453.44432229,3465114.886292446,4586
1608422400,2020-12-20 00:00:00,ADA/USD,0.163752,0.169099,0.157200,0.162371,0.163659,17033669.23379562,2765773.9071606286,3855
1608336000,2020-12-19 00:00:00,ADA/USD,0.165200,0.170904,0.163272,0.164523,0.167025,19648860.27645758,3232689.4392636307,2532
1608249600,2020-12-18 00:00:00,ADA/USD,0.163683,0.169448,0.158500,0.165283,0.163718,18299710.11855732,3024630.9875255097,3072
1608163200,2020-12-17 00:00:00,ADA/USD,0.168379,0.176490,0.161000,0.163492,0.168395,46381908.43009653,7583070.973053342,7275
1608076800,2020-12-16 00:00:00,ADA/USD,0.153999,0.168654,0.149402,0.168444,0.159767,33581514.48479558,5656604.625876906,5362
1607990400,2020-12-15 00:00:00,ADA/USD,0.158619,0.160042,0.152613,0.153999,0.156124,21040070.21991279,3240149.7737963498,3896
1607904000,2020-12-14 00:00:00,ADA/USD,0.153988,0.158580,0.149757,0.158580,0.153503,18747230.10651631,2972935.7502913564,3563
1607817600,2020-12-13 00:00:00,ADA/USD,0.144188,0.156820,0.143000,0.153765,0.151576,19662673.46195215,3023430.9848770727,3981
1607731200,2020-12-12 00:00:00,ADA/USD,0.139162,0.147520,0.138707,0.144140,0.145062,17341518.01165667,2499606.4062001924,2876
1607644800,2020-12-11 00:00:00,ADA/USD,0.142090,0.142617,0.134900,0.139200,0.138586,14322160.01084374,1993644.6735094485,2846
1607558400,2020-12-10 00:00:00,ADA/USD,0.148124,0.148598,0.139251,0.141806,0.144150,12237724.35435954,1735382.7397943086,2709
1607472000,2020-12-09 00:00:00,ADA/USD,0.140728,0.150187,0.130001,0.148118,0.140709,30621382.95281702,4535578.000205351,5229
1607385600,2020-12-08 00:00:00,ADA/USD,0.154128,0.154924,0.137700,0.141000,0.145368,20158886.98030873,2842403.0642235307,3859
1607299200,2020-12-07 00:00:00,ADA/USD,0.158762,0.159047,0.151541,0.153981,0.154812,12837038.93985948,1976660.0929985025,2255
1607212800,2020-12-06 00:00:00,ADA/USD,0.160124,0.162739,0.153487,0.158762,0.157512,12070792.28330596,1916383.1244822207,2824
1607126400,2020-12-05 00:00:00,ADA/USD,0.148001,0.161999,0.146050,0.160067,0.155748,12098543.10979321,1936577.4999552697,3149
1607040000,2020-12-04 00:00:00,ADA/USD,0.164211,0.164566,0.146120,0.147778,0.155667,25699714.95538584,3797852.476677009,4449
1606953600,2020-12-03 00:00:00,ADA/USD,0.158709,0.168543,0.155988,0.164211,0.162062,17261410.57461894,2834513.4918687507,4081
1606867200,2020-12-02 00:00:00,ADA/USD,0.155000,0.159764,0.151110,0.158589,0.156114,14294075.15792456,2266883.0852200985,3915
1606780800,2020-12-01 00:00:00,ADA/USD,0.172280,0.174304,0.143445,0.155525,0.160467,41334878.75654416,6428607.01861153,6549
1606694400,2020-11-30 00:00:00,ADA/USD,0.166886,0.174066,0.160292,0.172279,0.168464,35297485.28871404,6081015.468054365,7058
1606608000,2020-11-29 00:00:00,ADA/USD,0.164999,0.171259,0.157445,0.167087,0.164171,15407698.57003539,2574426.1309715034,4535
1606521600,2020-11-28 00:00:00,ADA/USD,0.141776,0.172261,0.139204,0.165275,0.160631,44910464.56262929,7422577.030588556,8016
1606435200,2020-11-27 00:00:00,ADA/USD,0.140367,0.145881,0.131195,0.141822,0.138516,21317733.54098134,3023323.606249056,4053
1606348800,2020-11-26 00:00:00,ADA/USD,0.155102,0.160897,0.123000,0.140736,0.135950,71175938.36764897,10017016.862109447,11629
1606262400,2020-11-25 00:00:00,ADA/USD,0.167272,0.176000,0.147500,0.155216,0.165550,59057406.21896249,9166654.363682482,8263
1606176000,2020-11-24 00:00:00,ADA/USD,0.155156,0.183460,0.134730,0.167378,0.166174,98387669.31276491,16467931.314231966,13409
1606089600,2020-11-23 00:00:00,ADA/USD,0.146133,0.161087,0.141000,0.154502,0.151872,65260342.60798436,10082853.453618798,9642
1606003200,2020-11-22 00:00:00,ADA/USD,0.133514,0.153669,0.120000,0.146129,0.138931,80190620.07071736,11718175.120313859,11798
1605916800,2020-11-21 00:00:00,ADA/USD,0.118342,0.134780,0.116657,0.133790,0.125763,43026787.22157053,5756553.862373921,7141
1605830400,2020-11-20 00:00:00,ADA/USD,0.105950,0.119000,0.105792,0.118538,0.113189,34539820.04941499,4094281.1890175547,4314
1605744000,2020-11-19 00:00:00,ADA/USD,0.106823,0.108100,0.104532,0.105950,0.106397,8772842.81261903,929482.6959969864,1485
1605657600,2020-11-18 00:00:00,ADA/USD,0.109644,0.111680,0.102235,0.106694,0.107229,13740831.76402323,1466064.3042306944,1925
1605571200,2020-11-17 00:00:00,ADA/USD,0.103697,0.112350,0.103697,0.109706,0.108715,19183357.37301810,2104529.403964324,2911
1605484800,2020-11-16 00:00:00,ADA/USD,0.100500,0.105432,0.099550,0.103900,0.103533,14255251.18839915,1481120.5984746716,1671
1605398400,2020-11-15 00:00:00,ADA/USD,0.104100,0.105083,0.098558,0.100516,0.101417,6981862.20720162,701788.861619078,1156
1605312000,2020-11-14 00:00:00,ADA/USD,0.106577,0.107303,0.101700,0.104397,0.103885,9552096.07096228,997210.1735202492,1497
1605225600,2020-11-13 00:00:00,ADA/USD,0.104764,0.107992,0.104382,0.106539,0.106167,6132457.95820290,653345.9384089787,1093
1605139200,2020-11-12 00:00:00,ADA/USD,0.106000,0.106717,0.102807,0.104780,0.105170,9262175.60235446,970490.7596147002,1349
1605052800,2020-11-11 00:00:00,ADA/USD,0.105866,0.109000,0.105740,0.106046,0.107583,14362244.35918717,1523058.5653143628,1602
1604966400,2020-11-10 00:00:00,ADA/USD,0.105477,0.109169,0.103726,0.105919,0.105934,11591739.14960729,1227785.4189872546,1455
1604880000,2020-11-09 00:00:00,ADA/USD,0.106646,0.108007,0.101350,0.105400,0.104470,10731247.04376179,1131073.4384124926,1489
1604793600,2020-11-08 00:00:00,ADA/USD,0.101473,0.108436,0.100109,0.106518,0.105452,12152758.49920942,1294487.529818789,1504
1604707200,2020-11-07 00:00:00,ADA/USD,0.109376,0.113913,0.098900,0.101338,0.106300,29166308.20782518,2955655.341164588,3385
1604620800,2020-11-06 00:00:00,ADA/USD,0.097683,0.110045,0.097381,0.109411,0.105710,29476816.78230339,3225088.000968596,3341
1604534400,2020-11-05 00:00:00,ADA/USD,0.095965,0.098166,0.092317,0.097698,0.096628,13559456.93378459,1324731.8235168867,1514
1604448000,2020-11-04 00:00:00,ADA/USD,0.093589,0.096255,0.091867,0.095597,0.094343,11066366.88087012,1057911.4747105408,1235
1604361600,2020-11-03 00:00:00,ADA/USD,0.092337,0.093898,0.088100,0.093665,0.091756,10811011.96706014,1012613.4358946879,1308
1604275200,2020-11-02 00:00:00,ADA/USD,0.098384,0.100087,0.091634,0.092460,0.095535,8275457.21741749,765148.774322421,1211
1604188800,2020-11-01 00:00:00,ADA/USD,0.093162,0.098686,0.092718,0.098273,0.096005,5776986.90309604,567721.8339279571,691
1604102400,2020-10-31 00:00:00,ADA/USD,0.093273,0.095544,0.092501,0.093183,0.093794,5489310.24491817,511510.39655220986,821
1604016000,2020-10-30 00:00:00,ADA/USD,0.095009,0.095675,0.089562,0.093396,0.092806,9733140.34185382,909036.3753677794,1714
1603929600,2020-10-29 00:00:00,ADA/USD,0.098924,0.100744,0.095000,0.095347,0.097888,7625018.70610010,727022.6585705262,1176
1603843200,2020-10-28 00:00:00,ADA/USD,0.102641,0.103368,0.095104,0.099000,0.099098,11643827.60737851,1152738.9331304727,2630
1603756800,2020-10-27 00:00:00,ADA/USD,0.103120,0.105914,0.101947,0.102641,0.104279,9289097.44810696,953442.2511711464,1509
1603670400,2020-10-26 00:00:00,ADA/USD,0.106439,0.107572,0.099288,0.103145,0.102796,9461889.42328987,975946.5845652338,1582
1603584000,2020-10-25 00:00:00,ADA/USD,0.108029,0.108827,0.106200,0.106595,0.107486,5138812.27414402,547771.6943623818,794
1603497600,2020-10-24 00:00:00,ADA/USD,0.108162,0.109992,0.107433,0.108059,0.108587,4872462.59874004,526513.4359572501,1299
1603411200,2020-10-23 00:00:00,ADA/USD,0.110820,0.111964,0.105257,0.108105,0.108658,8440839.62641219,912496.96781329,1615
1603324800,2020-10-22 00:00:00,ADA/USD,0.111111,0.112857,0.110003,0.110951,0.111515,3503252.92763032,388689.4155735116,437
1603238400,2020-10-21 00:00:00,ADA/USD,0.101900,0.108350,0.101500,0.106149,0.106187,12802841.83597755,1359008.858047181,1603
1603152000,2020-10-20 00:00:00,ADA/USD,0.108565,0.108753,0.100336,0.102457,0.103473,10360307.07551176,1061485.9820357084,1392
1603065600,2020-10-19 00:00:00,ADA/USD,0.107559,0.111000,0.106186,0.108702,0.108699,5139310.68182042,558653.3497352432,1015
1602979200,2020-10-18 00:00:00,ADA/USD,0.105985,0.107566,0.105209,0.107476,0.106590,2011900.74968125,216231.04497274203,449
1602892800,2020-10-17 00:00:00,ADA/USD,0.104207,0.107273,0.103346,0.105921,0.105920,2840723.29612265,300892.2522486072,597
1602806400,2020-10-16 00:00:00,ADA/USD,0.106655,0.107349,0.102400,0.104188,0.104240,6666985.36281311,694619.8709807724,1078
1602720000,2020-10-15 00:00:00,ADA/USD,0.107190,0.107929,0.104740,0.106700,0.106383,6958821.17764725,742506.2196549616,1010
1602633600,2020-10-14 00:00:00,ADA/USD,0.109346,0.112370,0.105305,0.107190,0.108163,7199699.99055187,771735.8419872549,1071
