unix,date,symbol,open,high,low,close,vwap,Volume ADA,Volume USD,tradecount
1609545600,2021-01-02 00:00:00,ADA/USD,0.175445,0.175668,0.174024,0.174700,0.174638,206560.19784476,36086.06656347957,44
1609542000,2021-01-01 23:00:00,ADA/USD,0.175984,0.176075,0.175316,0.175550,0.175894,161702.77767425,28386.92262071459,34
1609538400,2021-01-01 22:00:00,ADA/USD,0.175501,0.176714,0.174688,0.175677,0.175857,764041.14280171,134224.45584397603,181
1609534800,2021-01-01 21:00:00,ADA/USD,0.175457,0.176071,0.174499,0.175541,0.175562,660354.54457230,115919.29710876613,141
1609531200,2021-01-01 20:00:00,ADA/USD,0.174887,0.176201,0.173419,0.175600,0.175030,926453.73450149,162685.27577846166,205
1609527600,2021-01-01 19:00:00,ADA/USD,0.174892,0.176002,0.150000,0.174649,0.169426,11066639.67417649,1932777.5524552497,1378
1609524000,2021-01-01 18:00:00,ADA/USD,0.178371,0.179266,0.171810,0.174900,0.175096,4908190.78802057,858442.5688247976,693
1609520400,2021-01-01 17:00:00,ADA/USD,0.180260,0.180525,0.177400,0.178480,0.178930,1596233.23607989,284895.7079755388,276
1609516800,2021-01-01 16:00:00,ADA/USD,0.180861,0.181387,0.179914,0.180250,0.180456,2924692.36618820,527175.7990054231,221
1609513200,2021-01-01 15:00:00,ADA/USD,0.183492,0.183546,0.179671,0.180799,0.180377,1976538.86616329,357356.2504634567,173
1609509600,2021-01-01 14:00:00,ADA/USD,0.181435,0.183827,0.181001,0.183448,0.182643,2634280.83437213,483253.5505038985,261
1609506000,2021-01-01 13:00:00,ADA/USD,0.180898,0.181936,0.180898,0.181000,0.181191,455452.26921423,82436.86072777562,58
1609502400,2021-01-01 12:00:00,ADA/USD,0.179622,0.182590,0.179622,0.180636,0.181222,398997.52308026,72073.31657912585,107
1609498800,2021-01-01 11:00:00,ADA/USD,0.180678,0.180916,0.179672,0.179954,0.180634,558027.10165030,100419.20905037808,106
1609495200,2021-01-01 10:00:00,ADA/USD,0.179285,0.180669,0.179000,0.180669,0.180001,48660.66605575,8791.473875626296,34
1609491600,2021-01-01 09:00:00,ADA/USD,0.177894,0.179569,0.177837,0.179325,0.179134,197669.90832399,35447.15631019951,62
1609488000,2021-01-01 08:00:00,ADA/USD,0.180138,0.180140,0.177211,0.178350,0.178224,521239.72005737,92963.10407223194,130
1609484400,2021-01-01 07:00:00,ADA/USD,0.181182,0.181263,0.178336,0.179969,0.179571,742463.48580412,133620.41107668166,140
1609480800,2021-01-01 06:00:00,ADA/USD,0.183273,0.183273,0.179787,0.181093,0.180663,1208454.17871741,218842.59258647193,179
1609477200,2021-01-01 05:00:00,ADA/USD,0.182179,0.183468,0.182179,0.183186,0.182679,341849.22238578,62621.99165196149,83
1609473600,2021-01-01 04:00:00,ADA/USD,0.183164,0.183910,0.181451,0.181770,0.182066,686283.43510962,124745.73999987562,144
1609470000,2021-01-01 03:00:00,ADA/USD,0.184078,0.184688,0.183320,0.183544,0.183997,827969.96977935,151968.92013318103,139
1609466400,2021-01-01 02:00:00,ADA/USD,0.184139,0.184970,0.182806,0.184161,0.184290,752430.46837142,138568.34748574908,151
1609462800,2021-01-01 01:00:00,ADA/USD,0.180452,0.184933,0.180313,0.183870,0.183532,2104879.83106552,387024.2545380172,284
1609459200,2021-01-01 00:00:00,ADA/USD,0.181702,0.181702,0.178845,0.180838,0.180002,1196182.24756840,216315.20528577434,214
1609455600,2020-12-31 23:00:00,ADA/USD,0.179671,0.182500,0.178637,0.181689,0.179930,2275436.24845971,413421.7365463962,220
1609452000,2020-12-31 22:00:00,ADA/USD,0.180780,0.181206,0.179739,0.179800,0.180268,770576.51412264,138549.65723925066,135
1609448400,2020-12-31 21:00:00,ADA/USD,0.180892,0.181259,0.180489,0.180724,0.180832,679690.03333783,122836.30158494598,142
1609444800,2020-12-31 20:00:00,ADA/USD,0.181648,0.182500,0.180214,0.180801,0.180884,1698436.30247885,307078.98192447855,186
1609441200,2020-12-31 19:00:00,ADA/USD,0.180452,0.181800,0.180385,0.181671,0.180933,2786303.54226746,506190.5508272717,208
1609437600,2020-12-31 18:00:00,ADA/USD,0.181166,0.181750,0.180254,0.180452,0.181204,668493.11873104,120630.92026125363,125
1609434000,2020-12-31 17:00:00,ADA/USD,0.178763,0.182485,0.178484,0.181200,0.180157,2740188.96027726,496522.23960223945,261
1609430400,2020-12-31 16:00:00,ADA/USD,0.178115,0.180920,0.177534,0.178673,0.178642,1006767.58635523,179882.184956848,223
1609426800,2020-12-31 15:00:00,ADA/USD,0.178000,0.179998,0.177504,0.178303,0.178746,2501828.49788223,446083.52665789524,226
1609423200,2020-12-31 14:00:00,ADA/USD,0.178900,0.178942,0.176029,0.178249,0.177517,1846230.80028132,329088.793919345,270
1609419600,2020-12-31 13:00:00,ADA/USD,0.178759,0.179657,0.175500,0.179267,0.177678,3190327.95878491,571920.5221874944,400
1609416000,2020-12-31 12:00:00,ADA/USD,0.183446,0.184278,0.178300,0.178760,0.180908,991923.31015177,177316.21092273042,158
1609412400,2020-12-31 11:00:00,ADA/USD,0.185765,0.186319,0.183144,0.183144,0.185121,359491.86149207,65838.77748110367,138
1609408800,2020-12-31 10:00:00,ADA/USD,0.181154,0.185765,0.181057,0.185765,0.184152,727895.77780637,135217.55916420036,170
1609405200,2020-12-31 09:00:00,ADA/USD,0.182370,0.182900,0.180710,0.181416,0.182150,1475974.89973596,267765.4624104989,155
1609401600,2020-12-31 08:00:00,ADA/USD,0.183665,0.183998,0.181501,0.182504,0.182790,289515.14317264,52837.67168957949,83
1609398000,2020-12-31 07:00:00,ADA/USD,0.179408,0.183495,0.179408,0.183495,0.182070,1368862.68273280,251179.45796805513,208
1609394400,2020-12-31 06:00:00,ADA/USD,0.178032,0.179824,0.178032,0.179548,0.179126,752357.50478070,135084.2852683651,121
1609390800,2020-12-31 05:00:00,ADA/USD,0.178317,0.179264,0.177903,0.178039,0.178331,1366879.75155476,243357.90408705792,177
1609387200,2020-12-31 04:00:00,ADA/USD,0.179227,0.179282,0.178029,0.178379,0.178878,881646.11191262,157267.15179686126,98
1609383600,2020-12-31 03:00:00,ADA/USD,0.179000,0.180356,0.178900,0.179112,0.179233,756986.20407463,135585.31298421512,143
1609380000,2020-12-31 02:00:00,ADA/USD,0.179243,0.180296,0.178516,0.179575,0.179369,1150760.49570744,206647.81601666354,147
1609376400,2020-12-31 01:00:00,ADA/USD,0.181517,0.182000,0.176727,0.179124,0.178609,2799253.58648620,501413.49942575407,465
1609372800,2020-12-31 00:00:00,ADA/USD,0.184008,0.184008,0.181216,0.181227,0.182648,2654503.28672398,481067.6671431268,260
1609369200,2020-12-30 23:00:00,ADA/USD,0.182987,0.184510,0.182335,0.183967,0.183189,1260313.98677303,231856.183204674,191
1609365600,2020-12-30 22:00:00,ADA/USD,0.183718,0.184727,0.182796,0.183000,0.183869,1501909.31349899,274849.40437031514,225
1609362000,2020-12-30 21:00:00,ADA/USD,0.182653,0.185234,0.182178,0.183542,0.183825,1546371.79793399,283824.1725364004,269
1609358400,2020-12-30 20:00:00,ADA/USD,0.181725,0.186390,0.180932,0.182550,0.184062,2453157.17539763,447823.84236883733,471
1609354800,2020-12-30 19:00:00,ADA/USD,0.179815,0.181678,0.178033,0.180915,0.179880,1659673.49110270,300259.8296428449,262
1609351200,2020-12-30 18:00:00,ADA/USD,0.181156,0.181249,0.178237,0.179189,0.179566,1323093.84030234,237083.86214993597,284
