unix,date,symbol,open,high,low,close,vwap,Volume BCH,Volume USD,tradecount
1609545600,2021-01-02 00:00:00,BCH/USD,342.00,342.00,341.60,341.60,341.89,1.16993305,399.64912988000003,5
1609459200,2021-01-01 00:00:00,BCH/USD,342.40,355.65,332.38,341.36,346.05,10848.48088237,3703237.4340058235,2905
1609372800,2020-12-31 00:00:00,BCH/USD,359.06,361.00,334.71,343.10,349.53,24087.04604656,8264265.4985747365,4826
1609286400,2020-12-30 00:00:00,BCH/USD,352.52,366.40,341.71,359.27,354.23,19671.37612671,7067335.301043102,5736
1609200000,2020-12-29 00:00:00,BCH/USD,360.14,365.72,330.16,352.15,343.71,29920.83544481,10536622.20188984,9710
1609113600,2020-12-28 00:00:00,BCH/USD,337.34,376.22,334.11,360.15,360.34,15202.26687172,5475096.413849957,7549
1609027200,2020-12-27 00:00:00,BCH/USD,323.06,366.23,306.90,337.05,340.19,25078.89342824,8452841.029988293,9672
1608940800,2020-12-26 00:00:00,BCH/USD,318.81,329.78,310.02,323.01,321.55,15472.04399876,4997624.932039468,5339
1608854400,2020-12-25 00:00:00,BCH/USD,297.01,324.89,293.13,318.81,310.98,12452.09941305,3969853.8138744705,5587
1608768000,2020-12-24 00:00:00,BCH/USD,274.88,299.48,270.76,296.69,283.43,9480.64032138,2812811.176950232,4120
1608681600,2020-12-23 00:00:00,BCH/USD,323.20,326.29,266.70,275.23,294.19,17061.98603415,4695970.416179105,6076
1608595200,2020-12-22 00:00:00,BCH/USD,313.51,324.89,298.50,323.39,312.22,10660.79367682,3447594.0671468196,3260
1608508800,2020-12-21 00:00:00,BCH/USD,348.57,379.81,307.70,314.29,331.99,34035.37499107,10696978.005943391,11212
1608422400,2020-12-20 00:00:00,BCH/USD,317.53,367.47,310.00,349.08,345.56,30742.79789997,10731695.890921528,8956
1608336000,2020-12-19 00:00:00,BCH/USD,313.88,325.55,309.78,318.26,319.25,6960.68668559,2215308.1445558732,3474
1608249600,2020-12-18 00:00:00,BCH/USD,310.87,322.90,305.13,313.73,311.82,6938.75785984,2176896.5033676033,2757
1608163200,2020-12-17 00:00:00,BCH/USD,312.20,331.07,302.08,311.10,315.00,16736.30747995,5206665.2570124455,6836
1608076800,2020-12-16 00:00:00,BCH/USD,288.70,314.10,282.04,312.72,297.22,11005.27844921,3441570.6766369515,4603
1607990400,2020-12-15 00:00:00,BCH/USD,276.63,298.73,270.60,288.69,286.49,11727.46366079,3385601.484233465,4643
1607904000,2020-12-14 00:00:00,BCH/USD,275.40,280.03,265.22,276.63,270.94,4774.78694848,1320849.3135580225,2498
1607817600,2020-12-13 00:00:00,BCH/USD,267.85,282.33,266.22,275.35,273.87,7432.14296555,2046440.5655641926,2448
1607731200,2020-12-12 00:00:00,BCH/USD,259.07,270.40,258.36,267.74,266.54,5558.01405490,1488102.683058926,1721
1607644800,2020-12-11 00:00:00,BCH/USD,265.66,266.44,256.30,259.26,259.31,6900.76077273,1789091.2379379799,2074
1607558400,2020-12-10 00:00:00,BCH/USD,268.80,269.16,261.55,265.45,265.50,4573.20167286,1213956.384060687,1495
1607472000,2020-12-09 00:00:00,BCH/USD,267.50,271.05,255.00,268.89,264.70,10996.74841135,2956915.680327901,3174
1607385600,2020-12-08 00:00:00,BCH/USD,283.98,284.75,262.37,267.66,272.08,9323.45901673,2495517.040417952,2399
1607299200,2020-12-07 00:00:00,BCH/USD,286.51,290.50,281.17,283.80,285.91,3836.03706998,1088667.3204603242,1494
1607212800,2020-12-06 00:00:00,BCH/USD,289.79,293.40,279.52,286.50,285.38,2744.11519839,786189.004338735,1319
1607126400,2020-12-05 00:00:00,BCH/USD,280.27,289.80,274.60,289.80,282.50,3203.24590511,928300.663300878,1955
1607040000,2020-12-04 00:00:00,BCH/USD,291.71,307.35,276.00,280.31,289.67,13651.96957016,3826783.5902115493,4655
1606953600,2020-12-03 00:00:00,BCH/USD,294.18,297.09,286.00,292.41,291.91,4622.47394546,1351657.606391959,2606
1606867200,2020-12-02 00:00:00,BCH/USD,287.30,297.60,280.90,294.67,290.41,6333.10819049,1866176.9904916885,3162
1606780800,2020-12-01 00:00:00,BCH/USD,318.00,320.80,271.01,288.37,300.82,18940.12705140,5461764.4378122175,5287
1606694400,2020-11-30 00:00:00,BCH/USD,285.75,322.10,280.44,317.80,301.80,15004.37503806,4768390.387095468,5746
1606608000,2020-11-29 00:00:00,BCH/USD,276.57,288.90,272.52,285.60,281.50,4767.60825753,1361628.918350568,2683
1606521600,2020-11-28 00:00:00,BCH/USD,265.76,284.88,261.24,276.65,273.88,5556.01319553,1537071.0505433744,2849
1606435200,2020-11-27 00:00:00,BCH/USD,271.68,279.34,256.10,265.70,264.00,6411.74256246,1703599.998845622,3008
1606348800,2020-11-26 00:00:00,BCH/USD,313.10,321.27,255.00,271.59,275.23,43042.26132405,11689847.752998738,11715
1606262400,2020-11-25 00:00:00,BCH/USD,349.70,364.90,298.50,313.63,338.83,20210.58313182,6338645.187632706,7408
1606176000,2020-11-24 00:00:00,BCH/USD,323.22,372.12,323.13,349.50,344.80,39839.54403319,13923920.639599906,12799
1606089600,2020-11-23 00:00:00,BCH/USD,289.23,326.84,283.08,322.98,305.13,19992.20819643,6457083.403282962,7165
