unix,date,symbol,open,high,low,close,vwap,Volume DOT,Volume USD,tradecount
1609545600,2021-01-02 00:00:00,DOT/USD,8.3000,8.3000,8.2002,8.2230,8.2253,22300.21639869,183374.6794464279,103
1609542000,2021-01-01 23:00:00,DOT/USD,8.2725,8.3291,8.2550,8.3007,8.3024,60902.88570016,505536.58333131816,407
1609538400,2021-01-01 22:00:00,DOT/USD,8.1912,8.3112,8.1503,8.2787,8.2419,51690.53187701,427930.4062502027,343
1609534800,2021-01-01 21:00:00,DOT/USD,8.3480,8.3783,8.1624,8.1881,8.2635,59359.07893800,486038.0742522378,582
1609531200,2021-01-01 20:00:00,DOT/USD,8.2499,8.4684,8.2253,8.3524,8.3625,62929.02201062,525608.3634415024,497
1609527600,2021-01-01 19:00:00,DOT/USD,8.3575,8.3968,8.2150,8.2501,8.3122,44504.68986658,367168.1418682717,452
1609524000,2021-01-01 18:00:00,DOT/USD,8.2493,8.4730,8.1170,8.3785,8.3178,114396.52021167,958471.2445934771,892
1609520400,2021-01-01 17:00:00,DOT/USD,8.5309,8.5514,8.1010,8.2609,8.2311,246571.94681839,2036906.1954720377,1377
1609516800,2021-01-01 16:00:00,DOT/USD,8.5434,8.6895,8.4164,8.5303,8.5412,78337.58112576,668243.0682770705,631
1609513200,2021-01-01 15:00:00,DOT/USD,8.6600,8.7418,8.3449,8.5225,8.5142,137954.01463900,1175713.0897608777,937
1609509600,2021-01-01 14:00:00,DOT/USD,8.6990,8.8635,8.6700,8.6700,8.7932,67002.35569339,580910.4238616913,490
1609506000,2021-01-01 13:00:00,DOT/USD,8.7314,8.8285,8.5901,8.6962,8.7193,80266.57423278,698014.1828431013,584
1609502400,2021-01-01 12:00:00,DOT/USD,8.9534,9.0040,8.6521,8.7359,8.8426,63840.31102833,557702.573112388,576
1609498800,2021-01-01 11:00:00,DOT/USD,8.9085,9.1184,8.8825,8.9657,9.0076,65996.77997806,591707.3302492925,535
1609495200,2021-01-01 10:00:00,DOT/USD,8.8190,8.9773,8.8190,8.9149,8.9040,36885.49554519,328830.5042358143,324
1609491600,2021-01-01 09:00:00,DOT/USD,8.8139,8.9359,8.7791,8.8091,8.8416,11761.65611397,103609.60487357315,151
1609488000,2021-01-01 08:00:00,DOT/USD,9.0257,9.0258,8.7608,8.7756,8.8693,36365.07042267,319125.31200118293,364
1609484400,2021-01-01 07:00:00,DOT/USD,8.8858,9.0720,8.6803,9.0259,8.8915,93521.91230711,844119.4282927442,902
1609480800,2021-01-01 06:00:00,DOT/USD,9.1102,9.1614,8.7500,8.8842,8.9500,156328.88967833,1388857.1216802192,1186
1609477200,2021-01-01 05:00:00,DOT/USD,9.0805,9.2500,9.0805,9.1130,9.1864,92442.25774218,842426.2948044862,728
1609473600,2021-01-01 04:00:00,DOT/USD,9.1471,9.1675,9.0516,9.0764,9.0958,45169.02837612,409972.16915301554,404
1609470000,2021-01-01 03:00:00,DOT/USD,9.0860,9.2387,9.0415,9.1361,9.1350,67373.12183373,615527.5783851406,424
1609466400,2021-01-01 02:00:00,DOT/USD,9.2600,9.2600,8.9752,9.0961,9.1342,97191.00340068,884059.0860329253,785
1609462800,2021-01-01 01:00:00,DOT/USD,9.3125,9.4357,9.1823,9.2507,9.2793,137476.58246056,1271754.6213679023,951
1609459200,2021-01-01 00:00:00,DOT/USD,9.2727,9.4159,9.0456,9.2833,9.2274,148480.82620810,1378392.053937655,1385
1609455600,2020-12-31 23:00:00,DOT/USD,9.0894,9.5346,8.9534,9.2787,9.2736,393562.10282482,3651744.683480657,2710
1609452000,2020-12-31 22:00:00,DOT/USD,8.6717,9.2155,8.6332,9.0856,8.9374,247148.82565688,2245495.370388149,1488
1609448400,2020-12-31 21:00:00,DOT/USD,8.6972,8.7495,8.5815,8.6777,8.6677,118690.61711170,1029961.5681101991,778
1609444800,2020-12-31 20:00:00,DOT/USD,8.5245,8.8000,8.4774,8.6623,8.6391,326102.80043612,2824800.2882178025,1605
1609441200,2020-12-31 19:00:00,DOT/USD,8.3235,8.5224,8.2500,8.5224,8.3792,113625.49518141,968361.9201340486,790
1609437600,2020-12-31 18:00:00,DOT/USD,8.1286,8.4239,8.1007,8.3239,8.3115,78244.69290491,651300.9992711804,584
1609434000,2020-12-31 17:00:00,DOT/USD,8.0291,8.2146,8.0291,8.1216,8.1174,38212.71221913,310348.3635588862,294
1609430400,2020-12-31 16:00:00,DOT/USD,8.2382,8.2905,8.0033,8.0227,8.1307,88235.89109723,707890.0835057471,745
1609426800,2020-12-31 15:00:00,DOT/USD,8.0194,8.3075,8.0118,8.2414,8.1804,111064.07071326,915323.432376261,699
1609423200,2020-12-31 14:00:00,DOT/USD,8.0767,8.0767,7.8841,8.0075,7.9632,69542.99818272,556865.5579481304,454
1609419600,2020-12-31 13:00:00,DOT/USD,7.9543,8.0700,7.7679,8.0700,7.8949,306138.87312393,2470540.706110115,1410
1609416000,2020-12-31 12:00:00,DOT/USD,8.1791,8.1931,7.5300,7.9622,8.0033,194697.03126276,1550216.7023203475,915
1609412400,2020-12-31 11:00:00,DOT/USD,8.1793,8.1880,8.0800,8.1646,8.1268,45831.69665490,374197.4705085965,274
