unix,date,symbol,open,high,low,close,vwap,Volume LTC,Volume USD,tradecount
1609545600,2021-01-02 00:00:00,LTC/USD,126.44,126.44,125.37,125.37,125.88,40.49023149,5076.2603219013,44
1609459200,2021-01-01 00:00:00,LTC/USD,124.45,133.97,123.21,126.45,128.65,91396.48988887,11557086.146447612,11320
1609372800,2020-12-31 00:00:00,LTC/USD,130.14,130.38,122.08,124.55,125.81,117733.28254579,14663680.341078145,10284
1609286400,2020-12-30 00:00:00,LTC/USD,128.71,132.78,122.62,130.02,127.52,112857.53312793,14673736.45729346,15940
1609200000,2020-12-29 00:00:00,LTC/USD,129.64,130.50,119.72,128.69,125.05,131838.13371553,16966249.427851558,17927
1609113600,2020-12-28 00:00:00,LTC/USD,127.65,137.01,126.33,129.64,131.41,113346.20028185,14694201.404539034,18927
1609027200,2020-12-27 00:00:00,LTC/USD,129.52,139.21,121.70,127.66,131.71,245344.02370167,31320618.065755192,24555
1608940800,2020-12-26 00:00:00,LTC/USD,127.77,134.93,124.83,129.48,129.96,172623.25540895,22351259.110350844,22098
1608854400,2020-12-25 00:00:00,LTC/USD,111.32,128.48,108.33,127.74,118.34,166893.59232845,21318987.484036203,22350
1608768000,2020-12-24 00:00:00,LTC/USD,102.46,112.16,98.55,111.28,104.84,114843.90235152,12779829.453677146,20744
1608681600,2020-12-23 00:00:00,LTC/USD,114.37,117.22,95.57,102.45,107.75,193962.29936750,19871437.570200376,21756
1608595200,2020-12-22 00:00:00,LTC/USD,104.50,114.63,98.36,114.60,106.80,148599.34280762,17029484.685753252,14467
1608508800,2020-12-21 00:00:00,LTC/USD,114.63,118.52,101.00,104.53,107.41,197160.85900150,20609224.591426797,16243
1608422400,2020-12-20 00:00:00,LTC/USD,120.17,123.14,109.64,114.73,116.91,154349.06384287,17708468.094692476,18153
1608336000,2020-12-19 00:00:00,LTC/USD,109.49,124.40,105.55,120.06,116.59,159020.17134855,19091961.772106916,20009
1608249600,2020-12-18 00:00:00,LTC/USD,101.06,112.81,99.41,109.47,107.96,137352.54260818,15035982.839317463,19726
1608163200,2020-12-17 00:00:00,LTC/USD,93.12,109.82,90.22,101.27,99.69,247653.28393587,25079848.064185552,25804
1608076800,2020-12-16 00:00:00,LTC/USD,81.36,93.28,78.50,93.16,87.16,110395.50761539,10284445.489449732,13088
1607990400,2020-12-15 00:00:00,LTC/USD,82.41,84.92,80.44,81.34,82.16,56711.02200600,4612874.52996804,7928
1607904000,2020-12-14 00:00:00,LTC/USD,82.22,82.92,79.21,82.43,81.23,52994.48645393,4368335.51839745,8024
1607817600,2020-12-13 00:00:00,LTC/USD,76.70,84.24,75.68,82.21,80.61,62601.28859419,5146451.93532836,7624
1607731200,2020-12-12 00:00:00,LTC/USD,72.22,77.60,72.11,76.59,75.73,38218.27959181,2927138.0339367283,4267
1607644800,2020-12-11 00:00:00,LTC/USD,74.69,75.00,70.00,72.28,71.99,78713.70636336,5689426.695943661,8608
1607558400,2020-12-10 00:00:00,LTC/USD,77.44,77.61,73.18,74.65,75.19,42244.84786090,3153577.8928161855,4723
1607472000,2020-12-09 00:00:00,LTC/USD,76.66,78.19,72.13,77.40,76.16,58406.73110009,4520680.987146966,6489
1607385600,2020-12-08 00:00:00,LTC/USD,83.45,84.82,75.36,76.73,79.50,61165.01488025,4693191.5917615825,7946
