unix,date,symbol,open,high,low,close,vwap,Volume LTC,Volume USD,tradecount
1609545600,2021-01-02 00:00:00,LTC/USD,126.44,126.44,125.10,125.77,125.39,453.27896537,57008.8954745849,77
1609542000,2021-01-01 23:00:00,LTC/USD,126.18,126.45,125.94,126.45,126.12,1023.71168382,129448.34241903899,225
1609538400,2021-01-01 22:00:00,LTC/USD,125.62,126.41,125.41,126.13,125.99,1071.13481697,135102.2344644261,234
1609534800,2021-01-01 21:00:00,LTC/USD,126.53,126.54,125.49,125.70,125.91,2323.07609574,292010.665234518,317
1609531200,2021-01-01 20:00:00,LTC/USD,125.58,126.82,125.19,126.54,125.76,3450.72901593,436655.2496757822,373
1609527600,2021-01-01 19:00:00,LTC/USD,125.67,125.71,124.77,125.59,125.19,3984.77111728,500447.4046191952,339
1609524000,2021-01-01 18:00:00,LTC/USD,125.67,126.73,123.68,125.62,124.96,4793.15440178,602116.0559516036,657
1609520400,2021-01-01 17:00:00,LTC/USD,127.20,127.20,125.48,125.81,126.17,2803.25277151,352677.2311836731,416
1609516800,2021-01-01 16:00:00,LTC/USD,126.66,127.74,126.40,127.40,127.25,1534.96494439,195554.533915286,275
1609513200,2021-01-01 15:00:00,LTC/USD,127.40,127.64,126.16,126.68,127.13,3297.53069645,417731.18862628605,316
1609509600,2021-01-01 14:00:00,LTC/USD,128.23,128.89,127.36,127.37,128.14,1223.66040456,155857.6257288072,299
1609506000,2021-01-01 13:00:00,LTC/USD,127.08,128.42,126.98,128.23,127.88,2325.08229422,298145.3025878306,280
1609502400,2021-01-01 12:00:00,LTC/USD,127.88,130.37,126.30,127.14,128.10,3157.24162854,401411.7006525756,399
1609498800,2021-01-01 11:00:00,LTC/USD,127.66,129.06,127.61,127.98,128.50,2200.06881409,281564.80682723824,214
1609495200,2021-01-01 10:00:00,LTC/USD,127.56,128.72,127.53,127.74,127.87,1194.97401496,152645.9806709904,157
1609491600,2021-01-01 09:00:00,LTC/USD,126.33,127.99,126.17,127.56,127.32,3138.36733764,400330.13758935843,205
1609488000,2021-01-01 08:00:00,LTC/USD,129.67,130.23,125.18,126.59,127.19,4679.49546170,592377.330496603,791
1609484400,2021-01-01 07:00:00,LTC/USD,130.45,130.67,128.54,129.67,129.65,6657.85282460,863323.7757658819,703
