unix,date,symbol,open,high,low,close,vwap,Volume XMR,Volume USD,tradecount
1609545600,2021-01-02 00:00:00,XMR/USD,135.70,135.70,132.40,133.89,133.86,3522.91489244,471683.0749487916,225
1609542000,2021-01-01 23:00:00,XMR/USD,133.62,139.09,133.62,135.70,136.30,7259.41087096,985102.0551892718,531
1609538400,2021-01-01 22:00:00,XMR/USD,132.83,134.88,131.60,133.76,133.38,2755.75063695,368609.20519843197,357
1609534800,2021-01-01 21:00:00,XMR/USD,138.54,138.66,130.23,133.28,133.89,8655.43245418,1153596.0374931104,731
1609531200,2021-01-01 20:00:00,XMR/USD,141.66,143.00,135.92,138.28,139.91,6767.62002850,935826.4975409801,671
1609527600,2021-01-01 19:00:00,XMR/USD,145.51,146.19,139.19,141.66,142.89,6342.92909429,898539.3354971213,653
1609524000,2021-01-01 18:00:00,XMR/USD,155.63,158.01,136.56,145.45,145.52,34566.07976551,5027636.30189343,2692
1609520400,2021-01-01 17:00:00,XMR/USD,167.82,167.82,155.60,156.41,158.36,3696.45338299,578162.2736334659,570
1609516800,2021-01-01 16:00:00,XMR/USD,167.87,169.19,166.97,167.81,168.39,718.41100245,120556.55032113449,172
1609513200,2021-01-01 15:00:00,XMR/USD,166.96,168.34,166.69,168.25,167.78,314.15805082,52857.092050465006,110
1609509600,2021-01-01 14:00:00,XMR/USD,165.40,167.10,165.40,166.56,166.36,146.26717583,24362.2608062448,91
1609506000,2021-01-01 13:00:00,XMR/USD,164.13,165.44,163.55,165.40,164.43,309.89153664,51256.060160256005,69
1609502400,2021-01-01 12:00:00,XMR/USD,165.06,166.00,163.55,163.81,164.66,393.12286226,64397.4560668106,93
1609498800,2021-01-01 11:00:00,XMR/USD,164.26,166.00,164.26,164.57,165.04,646.47763420,106390.824260294,132
1609495200,2021-01-01 10:00:00,XMR/USD,161.84,164.54,161.84,164.54,163.61,305.59013694,50281.8011321076,115
1609491600,2021-01-01 09:00:00,XMR/USD,159.18,162.51,159.18,161.84,161.23,608.66836083,98506.8875167272,50
1609488000,2021-01-01 08:00:00,XMR/USD,159.20,159.20,157.57,159.03,158.29,46.51253095,7396.8877969785,33
1609484400,2021-01-01 07:00:00,XMR/USD,159.73,159.77,157.91,159.29,158.77,149.64958811,23837.6828900419,50
1609480800,2021-01-01 06:00:00,XMR/USD,160.31,161.00,159.00,159.88,160.38,263.48077715,42125.306650742,54
1609477200,2021-01-01 05:00:00,XMR/USD,160.44,160.44,159.37,159.89,159.91,122.16642156,19533.1891432284,42
1609473600,2021-01-01 04:00:00,XMR/USD,160.32,160.83,160.00,160.34,160.54,101.87883970,16335.253157498,42
1609470000,2021-01-01 03:00:00,XMR/USD,161.81,162.17,160.19,160.19,161.67,119.16903826,19089.6882388694,75
1609466400,2021-01-01 02:00:00,XMR/USD,160.59,162.01,160.59,162.01,161.27,426.72468302,69133.66589607019,131
1609462800,2021-01-01 01:00:00,XMR/USD,157.29,162.18,157.29,160.38,159.27,7379.04630949,1183451.4471160062,407
1609459200,2021-01-01 00:00:00,XMR/USD,155.92,157.26,155.50,157.26,155.67,173.18745485,27235.459149710998,38
1609455600,2020-12-31 23:00:00,XMR/USD,156.24,157.20,155.63,156.57,156.62,78.01341545,12214.560457006499,49
1609452000,2020-12-31 22:00:00,XMR/USD,157.05,157.05,155.83,156.39,156.19,388.97191244,60831.317386491595,56
1609448400,2020-12-31 21:00:00,XMR/USD,157.23,158.61,156.88,157.03,157.39,308.81885756,48493.8252026468,76
1609444800,2020-12-31 20:00:00,XMR/USD,157.76,157.91,157.16,157.60,157.47,207.71598920,32736.03989792,49
1609441200,2020-12-31 19:00:00,XMR/USD,156.06,157.96,156.06,157.82,157.09,109.47157101,17276.8033367982,59
1609437600,2020-12-31 18:00:00,XMR/USD,157.46,157.70,155.93,156.08,156.95,639.00493002,99735.8894775216,83
1609434000,2020-12-31 17:00:00,XMR/USD,156.74,157.92,156.71,157.45,157.53,103.31482724,16266.919548937998,28
1609430400,2020-12-31 16:00:00,XMR/USD,157.83,158.21,156.65,157.28,157.86,202.95118956,31920.163093996798,57
1609426800,2020-12-31 15:00:00,XMR/USD,157.66,158.16,157.35,157.98,157.97,86.19118808,13616.4838928784,23
1609423200,2020-12-31 14:00:00,XMR/USD,158.08,158.08,156.93,157.79,157.29,153.58140677,24233.6101742383,42
1609419600,2020-12-31 13:00:00,XMR/USD,157.45,159.20,155.83,158.76,156.91,1604.81131255,254779.84398043796,174
1609416000,2020-12-31 12:00:00,XMR/USD,159.22,159.22,157.40,157.66,157.62,619.59395102,97685.18231781319,56
1609412400,2020-12-31 11:00:00,XMR/USD,159.97,159.97,158.65,159.22,159.17,901.23834443,143495.1692001446,47
1609408800,2020-12-31 10:00:00,XMR/USD,160.03,160.62,160.00,160.27,160.31,281.60645707,45133.0668746089,68
1609405200,2020-12-31 09:00:00,XMR/USD,160.26,160.37,158.59,160.03,159.05,147.73535203,23642.0883853609,39
1609401600,2020-12-31 08:00:00,XMR/USD,160.28,161.00,159.79,160.71,160.38,212.16026381,34096.275996905104,57
1609398000,2020-12-31 07:00:00,XMR/USD,159.35,160.71,158.93,160.71,160.01,452.99017378,72800.05082818381,85
1609394400,2020-12-31 06:00:00,XMR/USD,158.54,160.13,158.54,159.08,159.41,415.63745783,66119.60679159641,84
