unix,date,symbol,open,high,low,close,vwap,Volume BCH,Volume USD,tradecount
1609545600,2021-01-02 00:00:00,BCH/USD,342.00,342.00,339.69,340.29,339.94,55.05119648,18733.3716501792,11
1609542000,2021-01-01 23:00:00,BCH/USD,340.48,344.20,339.92,341.36,341.21,339.34919052,115840.2396759072,94
1609538400,2021-01-01 22:00:00,BCH/USD,339.64,341.00,339.33,341.00,339.97,329.92134254,112503.17780614001,53
1609534800,2021-01-01 21:00:00,BCH/USD,340.00,341.38,338.50,339.65,340.09,544.64623764,184989.094614426,80
1609531200,2021-01-01 20:00:00,BCH/USD,337.47,340.24,337.47,340.02,339.60,523.14578650,177880.03032572998,84
1609527600,2021-01-01 19:00:00,BCH/USD,339.20,339.20,337.03,338.27,338.01,452.58011510,153094.275534877,79
1609524000,2021-01-01 18:00:00,BCH/USD,341.07,343.33,332.38,339.12,338.23,537.43077939,182253.5259067368,186
1609520400,2021-01-01 17:00:00,BCH/USD,345.46,346.18,341.81,341.81,343.39,353.19900848,120726.95308854879,65
1609516800,2021-01-01 16:00:00,BCH/USD,345.76,347.25,344.65,345.80,345.84,202.87307150,70153.5081247,68
1609513200,2021-01-01 15:00:00,BCH/USD,348.11,348.34,344.41,345.94,346.42,322.14856590,111444.074887446,89
1609509600,2021-01-01 14:00:00,BCH/USD,348.80,352.43,347.42,348.98,349.67,328.10500414,114502.0843447772,120
1609506000,2021-01-01 13:00:00,BCH/USD,349.10,350.49,348.36,348.80,349.90,235.93363995,82293.65361456001,46
1609502400,2021-01-01 12:00:00,BCH/USD,348.99,352.60,347.23,347.96,349.75,670.07657319,233159.84440719237,136
1609498800,2021-01-01 11:00:00,BCH/USD,349.17,350.86,348.13,348.99,349.67,306.84437946,107085.6199877454,79
1609495200,2021-01-01 10:00:00,BCH/USD,344.93,349.86,344.79,349.50,347.61,764.34362074,267138.09544863,169
1609491600,2021-01-01 09:00:00,BCH/USD,343.70,344.91,343.52,344.55,344.22,192.53327500,66337.33990125,54
1609488000,2021-01-01 08:00:00,BCH/USD,347.04,347.70,341.07,343.40,344.76,854.61005986,293473.09455592395,237
1609484400,2021-01-01 07:00:00,BCH/USD,349.21,349.21,346.00,346.94,347.05,751.19248118,260618.7194205892,200
1609480800,2021-01-01 06:00:00,BCH/USD,349.37,351.22,347.79,348.91,350.08,491.17339746,171375.3101077686,179
1609477200,2021-01-01 05:00:00,BCH/USD,349.30,349.66,348.42,348.69,349.16,323.38415916,112760.82245750041,83
1609473600,2021-01-01 04:00:00,BCH/USD,352.65,352.78,348.23,349.03,350.45,242.18873358,84531.1336814274,116
1609470000,2021-01-01 03:00:00,BCH/USD,354.89,355.46,351.91,352.10,352.98,421.35315968,148358.447523328,129
1609466400,2021-01-01 02:00:00,BCH/USD,350.31,355.65,347.83,355.26,352.74,996.94064932,354173.1350774232,259
1609462800,2021-01-01 01:00:00,BCH/USD,342.96,350.51,342.96,350.51,347.62,408.81101290,143292.348131579,183
1609459200,2021-01-01 00:00:00,BCH/USD,342.40,342.97,336.30,342.50,340.10,255.69663918,87576.09891915,117
1609455600,2020-12-31 23:00:00,BCH/USD,344.40,344.59,342.30,343.10,343.34,92.72916165,31815.375362115,27
1609452000,2020-12-31 22:00:00,BCH/USD,343.86,346.00,342.90,344.78,344.42,173.72931157,59898.39204310459,52
1609448400,2020-12-31 21:00:00,BCH/USD,341.45,344.00,341.08,342.93,342.62,105.79852154,36281.4869917122,50
1609444800,2020-12-31 20:00:00,BCH/USD,342.63,342.75,340.85,341.46,341.43,177.14658765,60488.47381896899,63
1609441200,2020-12-31 19:00:00,BCH/USD,343.35,343.53,342.59,342.69,343.17,109.54459307,37539.8365991583,36
1609437600,2020-12-31 18:00:00,BCH/USD,342.31,343.91,341.94,343.52,342.43,432.46336346,148559.81461577918,105
1609434000,2020-12-31 17:00:00,BCH/USD,340.80,345.30,340.80,342.50,343.23,370.93610153,127045.61477402499,87
1609430400,2020-12-31 16:00:00,BCH/USD,343.17,345.76,340.73,341.31,344.11,1737.63475391,593072.1178570221,278
1609426800,2020-12-31 15:00:00,BCH/USD,339.90,344.35,339.89,343.45,342.36,532.90080834,183024.782624373,129
1609423200,2020-12-31 14:00:00,BCH/USD,342.75,342.75,337.86,340.53,339.78,395.84790792,134798.0880839976,112
1609419600,2020-12-31 13:00:00,BCH/USD,339.50,342.70,334.71,342.02,338.76,1380.67936771,472219.95734417415,371
1609416000,2020-12-31 12:00:00,BCH/USD,350.02,351.71,338.39,339.70,346.14,1856.32427014,630593.3545665579,396
1609412400,2020-12-31 11:00:00,BCH/USD,352.31,353.08,350.66,350.66,352.08,714.56038131,250567.74331016463,119
1609408800,2020-12-31 10:00:00,BCH/USD,351.80,355.51,351.80,353.72,352.11,8345.46985261,2951959.5962652094,1260
1609405200,2020-12-31 09:00:00,BCH/USD,351.94,352.00,348.60,351.87,351.85,1753.12366155,616871.6227895985,265
1609401600,2020-12-31 08:00:00,BCH/USD,354.35,354.35,351.17,351.99,352.39,462.59815216,162829.9235787984,91
1609398000,2020-12-31 07:00:00,BCH/USD,350.59,357.94,350.59,354.15,354.49,410.12322947,145245.14171680048,108
1609394400,2020-12-31 06:00:00,BCH/USD,351.42,352.52,350.00,350.20,351.84,338.76060958,118633.965474916,69
1609390800,2020-12-31 05:00:00,BCH/USD,353.52,353.70,350.34,350.96,352.25,196.95811181,69124.41892083759,54
1609387200,2020-12-31 04:00:00,BCH/USD,354.78,359.00,352.89,353.10,356.59,554.60274661,195830.22982799102,102
1609383600,2020-12-31 03:00:00,BCH/USD,351.05,355.55,350.50,354.52,353.56,389.79431728,138189.88136210557,111
1609380000,2020-12-31 02:00:00,BCH/USD,351.19,352.50,349.92,351.24,351.59,546.50628065,191954.866015506,108
1609376400,2020-12-31 01:00:00,BCH/USD,355.15,355.50,346.70,351.61,350.32,2164.93678092,761213.4215392811,588
1609372800,2020-12-31 00:00:00,BCH/USD,359.06,361.00,354.70,354.70,358.38,843.87717412,299323.233660364,245
1609369200,2020-12-30 23:00:00,BCH/USD,354.48,360.00,353.92,359.27,356.58,587.68259507,211136.72593079892,167
1609365600,2020-12-30 22:00:00,BCH/USD,355.97,357.67,353.85,354.39,355.63,1174.70983546,416305.4185886694,214
1609362000,2020-12-30 21:00:00,BCH/USD,356.08,358.49,354.45,355.88,356.40,813.90327394,289651.89712976717,234
1609358400,2020-12-30 20:00:00,BCH/USD,356.02,356.54,353.90,356.02,355.19,520.53445407,185320.67633800142,231
1609354800,2020-12-30 19:00:00,BCH/USD,351.94,358.59,351.94,355.69,355.88,1093.85716051,389074.05342180195,392
1609351200,2020-12-30 18:00:00,BCH/USD,351.04,354.65,350.19,351.86,351.37,92.13963940,32420.253519284,99
1609347600,2020-12-30 17:00:00,BCH/USD,351.58,352.61,349.22,351.01,351.25,407.42073851,143008.75342439508,176
1609344000,2020-12-30 16:00:00,BCH/USD,349.78,355.81,346.81,351.53,352.00,1634.11781524,574441.4355913171,350
1609340400,2020-12-30 15:00:00,BCH/USD,352.10,352.10,348.61,349.39,350.61,304.56657091,106412.51421024489,109
1609336800,2020-12-30 14:00:00,BCH/USD,350.23,354.04,349.81,352.08,351.97,401.73227875,141441.9007023,106
1609333200,2020-12-30 13:00:00,BCH/USD,349.97,352.67,347.97,350.18,350.83,192.85975278,67535.6282285004,63
1609329600,2020-12-30 12:00:00,BCH/USD,349.81,352.48,345.91,350.60,348.90,279.05145303,97835.439432318,107
1609326000,2020-12-30 11:00:00,BCH/USD,354.60,355.80,346.27,350.54,350.77,1033.76978463,362377.6603042002,278
1609322400,2020-12-30 10:00:00,BCH/USD,348.09,362.60,348.09,355.70,355.99,1314.96221979,467732.061579303,332
1609318800,2020-12-30 09:00:00,BCH/USD,347.00,349.00,341.71,349.00,345.10,848.34275860,296071.6227514,253
1609315200,2020-12-30 08:00:00,BCH/USD,354.42,357.02,347.40,347.90,350.72,1770.99872348,616130.455898692,491
1609311600,2020-12-30 07:00:00,BCH/USD,355.75,358.06,353.63,354.16,356.05,789.29002052,279534.9536673632,131
1609308000,2020-12-30 06:00:00,BCH/USD,354.42,358.09,353.38,355.62,355.94,1062.53585188,377858.99964556564,241
1609304400,2020-12-30 05:00:00,BCH/USD,350.70,355.17,350.65,354.57,353.05,397.89059714,141080.0690279298,102
1609300800,2020-12-30 04:00:00,BCH/USD,355.70,356.45,350.79,352.86,353.03,441.97469235,155955.18994262101,122
1609297200,2020-12-30 03:00:00,BCH/USD,359.04,360.67,353.49,355.50,357.53,760.64349851,270408.763720305,189
1609293600,2020-12-30 02:00:00,BCH/USD,358.41,360.50,354.31,360.50,357.08,674.38211170,243114.75126785,387
1609290000,2020-12-30 01:00:00,BCH/USD,361.60,362.33,355.87,358.44,360.74,491.65205236,176227.7616479184,274
1609286400,2020-12-30 00:00:00,BCH/USD,352.52,366.40,350.95,362.02,357.11,2582.35824808,934865.3329699215,688
1609282800,2020-12-29 23:00:00,BCH/USD,347.09,353.74,345.77,352.15,350.39,260.91257062,91880.361743833,261
1609279200,2020-12-29 22:00:00,BCH/USD,348.57,349.87,346.76,346.98,348.51,162.12100971,56252.747949175806,203
1609275600,2020-12-29 21:00:00,BCH/USD,348.74,351.17,346.00,348.28,349.41,455.16943577,158526.4110899756,338
1609272000,2020-12-29 20:00:00,BCH/USD,347.97,349.30,345.15,348.52,347.48,3366.40758006,1173260.369802511,613
1609268400,2020-12-29 19:00:00,BCH/USD,343.38,348.32,342.87,347.65,346.07,678.28230358,235804.84283958699,296
1609264800,2020-12-29 18:00:00,BCH/USD,343.52,343.99,341.39,343.60,343.25,504.97310101,173508.757507036,257
1609261200,2020-12-29 17:00:00,BCH/USD,335.69,343.82,332.69,343.78,337.96,810.52070052,278640.80642476556,376
1609257600,2020-12-29 16:00:00,BCH/USD,341.87,341.87,330.16,336.10,334.64,4596.01253296,1544719.812327856,907
1609254000,2020-12-29 15:00:00,BCH/USD,344.20,346.99,340.01,341.90,342.09,1724.32131105,589545.456247995,379
1609250400,2020-12-29 14:00:00,BCH/USD,349.18,349.42,343.01,343.37,346.44,773.29105166,265524.9484084942,462
1609246800,2020-12-29 13:00:00,BCH/USD,347.78,352.14,346.75,348.94,349.00,493.57136794,172226.7931289836,357
1609243200,2020-12-29 12:00:00,BCH/USD,350.20,353.36,347.18,347.78,351.26,1631.12951849,567274.2239404522,386
1609239600,2020-12-29 11:00:00,BCH/USD,350.30,352.49,343.14,350.22,347.06,592.97825358,207672.8439687876,369
1609236000,2020-12-29 10:00:00,BCH/USD,347.97,354.05,347.97,350.70,351.01,673.30678665,236128.69007815502,325
1609232400,2020-12-29 09:00:00,BCH/USD,348.10,351.00,342.28,347.63,346.20,430.60433588,149690.98528196441,270
1609228800,2020-12-29 08:00:00,BCH/USD,342.72,348.94,342.72,348.37,345.73,2289.13175814,797464.8305832318,467
1609225200,2020-12-29 07:00:00,BCH/USD,342.40,343.70,339.49,342.77,341.21,187.32265532,64208.58656403639,256
1609221600,2020-12-29 06:00:00,BCH/USD,342.54,344.88,341.03,342.41,343.47,259.77146192,88948.3462760272,198
1609218000,2020-12-29 05:00:00,BCH/USD,341.46,344.19,333.73,343.32,338.22,1717.03487871,589492.4145587172,625
1609214400,2020-12-29 04:00:00,BCH/USD,340.43,344.64,336.00,341.31,338.55,4351.51737003,1485216.3935649393,938
1609210800,2020-12-29 03:00:00,BCH/USD,352.05,352.05,341.09,342.19,346.63,878.65310129,300666.3047304251,320
1609207200,2020-12-29 02:00:00,BCH/USD,352.69,356.03,351.00,352.34,352.48,445.03595603,156803.9687476102,232
1609203600,2020-12-29 01:00:00,BCH/USD,350.69,355.79,345.00,354.27,350.24,1139.17951745,403577.1276470115,457
1609200000,2020-12-29 00:00:00,BCH/USD,360.14,365.72,349.66,351.22,356.24,1499.58688644,526684.9062554569,418
1609196400,2020-12-28 23:00:00,BCH/USD,355.51,364.89,355.50,360.15,360.62,768.68756533,276842.82665359945,394
1609192800,2020-12-28 22:00:00,BCH/USD,358.10,361.39,351.41,356.04,356.46,903.86989423,321813.8371416492,423
1609189200,2020-12-28 21:00:00,BCH/USD,362.03,363.66,358.63,358.63,360.57,314.94212349,112947.69374721868,138
1609185600,2020-12-28 20:00:00,BCH/USD,364.71,368.04,358.97,361.87,361.75,591.92473670,214199.80446962902,359
1609182000,2020-12-28 19:00:00,BCH/USD,365.72,367.37,365.00,365.11,366.11,370.92768736,135429.4079320096,208
1609178400,2020-12-28 18:00:00,BCH/USD,366.72,368.94,362.50,365.10,365.92,490.75518445,179174.717842695,284
