unix,date,symbol,open,high,low,close,vwap,Volume DOT,Volume USD,tradecount
1609545600,2021-01-02 00:00:00,DOT/USD,8.3000,8.3000,8.2002,8.2104,8.2294,11700.83578207,96068.54210510752,58
1609459200,2021-01-01 00:00:00,DOT/USD,9.2727,9.4357,8.1010,8.3007,8.7448,2056748.13620839,17072449.254224982,15907
1609372800,2020-12-31 00:00:00,DOT/USD,7.2318,9.5346,7.1520,9.2787,8.2890,3180338.84368177,29509410.02887004,21438
1609286400,2020-12-30 00:00:00,DOT/USD,7.5462,7.6528,7.0501,7.2320,7.3447,1616362.23703967,11689531.698270895,10083
1609200000,2020-12-29 00:00:00,DOT/USD,6.6260,7.6850,6.1752,7.5545,6.8049,2419060.37745162,18274791.621458262,18030
1609113600,2020-12-28 00:00:00,DOT/USD,5.1480,6.6788,5.1124,6.5808,6.0821,2227818.32768445,14660826.850825828,14637
1609027200,2020-12-27 00:00:00,DOT/USD,5.1853,5.4100,4.9220,5.1435,5.2507,1069836.51258573,5502704.102484703,4971
1608940800,2020-12-26 00:00:00,DOT/USD,5.2006,5.2800,5.0890,5.1879,5.1891,335633.59558136,1741233.5305165374,1675
1608854400,2020-12-25 00:00:00,DOT/USD,5.1111,5.2700,5.0445,5.2165,5.1855,516563.48065617,2694653.396842911,2192
1608768000,2020-12-24 00:00:00,DOT/USD,4.7111,5.1943,4.6409,5.1346,4.9819,473899.85430026,2433286.191890115,2414
1608681600,2020-12-23 00:00:00,DOT/USD,5.1512,5.1907,4.5988,4.7233,4.8742,391902.22882951,1851071.7974304245,2994
1608595200,2020-12-22 00:00:00,DOT/USD,4.8751,5.1722,4.8057,5.1599,5.0409,491074.11290462,2533893.315176549,2248
1608508800,2020-12-21 00:00:00,DOT/USD,5.1823,5.4409,4.7854,4.8751,5.0561,780320.01516895,3804138.105950148,3565
1608422400,2020-12-20 00:00:00,DOT/USD,5.3415,5.4392,5.0732,5.1943,5.2533,308119.31725820,1600464.1696342684,1959
1608336000,2020-12-19 00:00:00,DOT/USD,5.3659,5.5719,5.2930,5.3459,5.4377,309018.16208670,1651980.1926992894,1851
1608249600,2020-12-18 00:00:00,DOT/USD,5.3398,5.6052,5.2547,5.3641,5.3557,607177.96424766,3256963.318020873,2420
1608163200,2020-12-17 00:00:00,DOT/USD,5.3800,5.7419,5.2701,5.3470,5.4625,1092505.88500161,5841628.967103609,5732
1608076800,2020-12-16 00:00:00,DOT/USD,5.2431,5.3785,5.1247,5.3731,5.2577,403986.93582806,2170662.2048977492,2522
1607990400,2020-12-15 00:00:00,DOT/USD,4.9050,5.2913,4.8459,5.2495,5.0984,370801.92601401,1946524.7106105455,2081
1607904000,2020-12-14 00:00:00,DOT/USD,4.8892,5.0110,4.8350,4.8963,4.8874,253114.29863552,1239323.5404090967,989
