unix,date,symbol,open,high,low,close,vwap,Volume EOS,Volume USD,tradecount
1609545600,2021-01-02 00:00:00,EOS/USD,2.6290,2.6290,2.6252,2.6252,2.6269,729.89915502,1916.1312617585038,4
1609459200,2021-01-01 00:00:00,EOS/USD,2.5978,2.7335,2.5779,2.6374,2.6384,189422.02894710,499581.6591450816,948
1609372800,2020-12-31 00:00:00,EOS/USD,2.6137,2.6523,2.5119,2.5854,2.5889,284845.20819702,736438.8012725755,1033
1609286400,2020-12-30 00:00:00,EOS/USD,2.6373,2.6667,2.5338,2.6091,2.5860,329785.18970756,860442.5384659949,1591
1609200000,2020-12-29 00:00:00,EOS/USD,2.7562,2.7840,2.5023,2.6366,2.6332,345397.89478011,910676.089377238,3326
1609113600,2020-12-28 00:00:00,EOS/USD,2.7141,2.8879,2.6871,2.7601,2.7867,296143.93674550,817386.8798112546,2953
1609027200,2020-12-27 00:00:00,EOS/USD,2.5981,2.8700,2.4749,2.7097,2.6863,499972.80919886,1354776.321086151,3319
1608940800,2020-12-26 00:00:00,EOS/USD,2.6636,2.6910,2.5182,2.6067,2.6009,409558.64242594,1067596.5132116978,2023
1608854400,2020-12-25 00:00:00,EOS/USD,2.6737,2.7354,2.5480,2.6614,2.6526,348077.38863487,926373.162112843,2368
1608768000,2020-12-24 00:00:00,EOS/USD,2.3121,2.6872,2.2575,2.6660,2.4681,338685.86493677,902936.5159214288,2865
1608681600,2020-12-23 00:00:00,EOS/USD,2.8961,2.9085,1.9900,2.3138,2.5019,792345.79142973,1833329.6922101094,4104
1608595200,2020-12-22 00:00:00,EOS/USD,2.9319,2.9540,2.7723,2.9033,2.8747,240351.19606554,697811.6275370823,1794
1608508800,2020-12-21 00:00:00,EOS/USD,3.1372,3.2791,2.9063,2.9370,3.0291,580080.53467377,1703696.5303368622,2645
1608422400,2020-12-20 00:00:00,EOS/USD,3.0567,3.3325,3.0092,3.1327,3.1762,537019.31532325,1682320.4091131452,2639
1608336000,2020-12-19 00:00:00,EOS/USD,3.0675,3.1117,3.0382,3.0631,3.0867,161401.34786644,494388.4686496923,620
1608249600,2020-12-18 00:00:00,EOS/USD,3.0429,3.1300,2.9871,3.0553,3.0516,182555.08814743,557760.560816843,969
1608163200,2020-12-17 00:00:00,EOS/USD,3.1072,3.2594,2.9627,3.0475,3.1060,543525.81628829,1656394.9251385636,2485
1608076800,2020-12-16 00:00:00,EOS/USD,2.8624,3.1185,2.8251,3.1126,2.9740,259191.98218060,806760.9637353355,1308
1607990400,2020-12-15 00:00:00,EOS/USD,2.8439,2.9021,2.8108,2.8622,2.8775,169114.21349315,484038.7018600939,700
1607904000,2020-12-14 00:00:00,EOS/USD,2.8489,2.8596,2.8022,2.8460,2.8304,57354.35294800,163230.488490008,998
