unix,date,symbol,open,high,low,close,vwap,Volume EOS,Volume USD,tradecount
1609545600,2021-01-02 00:00:00,EOS/USD,2.6290,2.6290,2.6252,2.6252,2.6269,729.89915502,1916.1312617585038,4
1609542000,2021-01-01 23:00:00,EOS/USD,2.6271,2.6374,2.6257,2.6374,2.6320,1555.06646103,4101.332284320522,17
1609538400,2021-01-01 22:00:00,EOS/USD,2.6252,2.6346,2.6225,2.6325,2.6271,2864.78629819,7541.5499299851745,33
1609534800,2021-01-01 21:00:00,EOS/USD,2.6321,2.6356,2.6219,2.6282,2.6300,4716.05153556,12394.726645758792,18
1609531200,2021-01-01 20:00:00,EOS/USD,2.6254,2.6321,2.6254,2.6294,2.6296,1875.96211999,4932.654798301706,18
1609527600,2021-01-01 19:00:00,EOS/USD,2.6208,2.6306,2.6101,2.6306,2.6186,6319.04025908,16622.86730553585,27
1609524000,2021-01-01 18:00:00,EOS/USD,2.6217,2.6411,2.5924,2.6251,2.6164,26679.13298403,70035.39199637716,116
1609520400,2021-01-01 17:00:00,EOS/USD,2.6653,2.6695,2.6207,2.6336,2.6492,2071.09547880,5454.43705296768,29
1609516800,2021-01-01 16:00:00,EOS/USD,2.6793,2.7004,2.6696,2.6704,2.6761,5142.33490940,13732.091142061758,43
1609513200,2021-01-01 15:00:00,EOS/USD,2.6846,2.6887,2.6491,2.6784,2.6669,12476.31229588,33416.554853284986,46
1609509600,2021-01-01 14:00:00,EOS/USD,2.6579,2.7335,2.6579,2.6790,2.7003,10001.24562661,26793.33703368819,96
1609506000,2021-01-01 13:00:00,EOS/USD,2.6397,2.6597,2.6397,2.6516,2.6548,18738.56193739,49687.17083318333,72
1609502400,2021-01-01 12:00:00,EOS/USD,2.6453,2.6636,2.6263,2.6263,2.6398,6356.05182742,16692.898914353147,36
1609498800,2021-01-01 11:00:00,EOS/USD,2.6381,2.6592,2.6381,2.6459,2.6466,27003.26140193,71447.9293433666,50
1609495200,2021-01-01 10:00:00,EOS/USD,2.6241,2.6314,2.6185,2.6314,2.6224,10877.79752210,28623.83639965394,42
1609491600,2021-01-01 09:00:00,EOS/USD,2.6086,2.6234,2.6068,2.6167,2.6151,6388.10382595,16715.751281363366,37
1609488000,2021-01-01 08:00:00,EOS/USD,2.6262,2.6278,2.5910,2.6087,2.6047,7233.75329867,18870.692230240427,50
1609484400,2021-01-01 07:00:00,EOS/USD,2.6255,2.6255,2.6038,2.6234,2.6141,4241.38091804,11126.838700386137,29
1609480800,2021-01-01 06:00:00,EOS/USD,2.6347,2.6381,2.6182,2.6237,2.6285,4101.47633155,10761.043451087735,26
1609477200,2021-01-01 05:00:00,EOS/USD,2.6394,2.6394,2.6263,2.6263,2.6321,1893.92969017,4974.027545293471,19
1609473600,2021-01-01 04:00:00,EOS/USD,2.6407,2.6690,2.6369,2.6384,2.6459,3335.89634161,8801.428907703823,49
1609470000,2021-01-01 03:00:00,EOS/USD,2.6354,2.6438,2.6318,2.6389,2.6368,13740.33208100,36259.3623285509,28
1609466400,2021-01-01 02:00:00,EOS/USD,2.6323,2.6323,2.6210,2.6270,2.6281,8354.25962557,21946.640036372384,29
1609462800,2021-01-01 01:00:00,EOS/USD,2.6166,2.6364,2.6148,2.6364,2.6281,1515.65137526,3995.8632857354637,14
1609459200,2021-01-01 00:00:00,EOS/USD,2.5978,2.6089,2.5779,2.6089,2.5914,1940.54480187,5062.687333598643,24
1609455600,2020-12-31 23:00:00,EOS/USD,2.6004,2.6088,2.5854,2.5854,2.6064,784.96643278,2029.452215309412,9
1609452000,2020-12-31 22:00:00,EOS/USD,2.5879,2.6083,2.5866,2.5955,2.5992,10583.56951578,27469.65467820699,60
1609448400,2020-12-31 21:00:00,EOS/USD,2.5883,2.5883,2.5833,2.5853,2.5839,595.70261141,1540.0699612782732,7
1609444800,2020-12-31 20:00:00,EOS/USD,2.5841,2.5924,2.5811,2.5911,2.5857,2903.65264583,7523.654370610113,24
1609441200,2020-12-31 19:00:00,EOS/USD,2.5803,2.5925,2.5803,2.5852,2.5854,1246.94067351,3223.5910291580517,20
1609437600,2020-12-31 18:00:00,EOS/USD,2.5698,2.5795,2.5678,2.5767,2.5745,1869.00194099,4815.857301348934,19
1609434000,2020-12-31 17:00:00,EOS/USD,2.5679,2.5812,2.5679,2.5727,2.5769,12143.30435126,31241.079104486606,29
1609430400,2020-12-31 16:00:00,EOS/USD,2.5716,2.5999,2.5620,2.5674,2.5943,71382.85410834,183268.33963775213,97
1609426800,2020-12-31 15:00:00,EOS/USD,2.5770,2.5993,2.5732,2.5818,2.5863,14951.43249904,38601.60842602147,67
1609423200,2020-12-31 14:00:00,EOS/USD,2.5601,2.5903,2.5503,2.5744,2.5667,11912.03511638,30666.34320360867,78
1609419600,2020-12-31 13:00:00,EOS/USD,2.5600,2.5632,2.5119,2.5632,2.5417,24151.78655277,61905.85929206007,117
1609416000,2020-12-31 12:00:00,EOS/USD,2.6217,2.6223,2.5502,2.5604,2.5873,11935.17323360,30558.81754730944,68
1609412400,2020-12-31 11:00:00,EOS/USD,2.6425,2.6425,2.6162,2.6173,2.6252,6551.99679070,17148.54120029911,43
1609408800,2020-12-31 10:00:00,EOS/USD,2.6160,2.6523,2.6160,2.6425,2.6321,2845.34989288,7518.8370919354,25
1609405200,2020-12-31 09:00:00,EOS/USD,2.5992,2.6096,2.5838,2.6096,2.5947,493.41552559,1287.617155579664,19
1609401600,2020-12-31 08:00:00,EOS/USD,2.5996,2.6016,2.5996,2.5996,2.6006,356.83670356,927.632694574576,3
1609398000,2020-12-31 07:00:00,EOS/USD,2.5825,2.6444,2.5825,2.6172,2.6163,7356.13474434,19252.475852886648,53
1609394400,2020-12-31 06:00:00,EOS/USD,2.5835,2.5835,2.5728,2.5786,2.5771,9571.56165571,24681.228885413806,27
1609390800,2020-12-31 05:00:00,EOS/USD,2.6000,2.6000,2.5822,2.5995,2.5897,16659.43172549,43306.19277041126,25
1609387200,2020-12-31 04:00:00,EOS/USD,2.6043,2.6125,2.6041,2.6088,2.6077,628.53595585,1639.7246016214801,13
1609383600,2020-12-31 03:00:00,EOS/USD,2.6000,2.6135,2.6000,2.6135,2.6015,3778.96839275,9876.333894452126,17
1609380000,2020-12-31 02:00:00,EOS/USD,2.5932,2.5964,2.5932,2.5944,2.5944,2268.49305388,5885.378378986272,14
1609376400,2020-12-31 01:00:00,EOS/USD,2.6185,2.6185,2.5733,2.5943,2.5936,62061.15509152,161005.25465393034,125
1609372800,2020-12-31 00:00:00,EOS/USD,2.6137,2.6469,2.6058,2.6275,2.6277,7812.90898306,20528.41835299015,74
1609369200,2020-12-30 23:00:00,EOS/USD,2.5867,2.6153,2.5867,2.6091,2.5978,6767.60791135,17657.365801503285,42
1609365600,2020-12-30 22:00:00,EOS/USD,2.6019,2.6137,2.5776,2.5894,2.5926,7084.82162984,18345.437128307694,52
1609362000,2020-12-30 21:00:00,EOS/USD,2.6093,2.6145,2.5927,2.5945,2.6078,3091.20751623,8020.137900858735,34
1609358400,2020-12-30 20:00:00,EOS/USD,2.5933,2.6124,2.5859,2.6086,2.6018,1984.40426609,5176.516968522374,21
1609354800,2020-12-30 19:00:00,EOS/USD,2.5810,2.6207,2.5810,2.6102,2.6046,4189.26774206,10934.826660325012,34
1609351200,2020-12-30 18:00:00,EOS/USD,2.5765,2.5868,2.5728,2.5834,2.5799,1384.06339802,3575.589382444868,33
1609347600,2020-12-30 17:00:00,EOS/USD,2.5836,2.5889,2.5701,2.5781,2.5760,2360.02312100,6084.3756082501,23
1609344000,2020-12-30 16:00:00,EOS/USD,2.6023,2.6122,2.5665,2.6007,2.5906,13630.91388143,35449.917731435,78
1609340400,2020-12-30 15:00:00,EOS/USD,2.6038,2.6077,2.5979,2.6007,2.6047,5194.30243562,13508.822344316934,30
1609336800,2020-12-30 14:00:00,EOS/USD,2.5778,2.6053,2.5770,2.5979,2.5948,9082.39391612,23595.15115468815,38
1609333200,2020-12-30 13:00:00,EOS/USD,2.5744,2.5869,2.5723,2.5754,2.5816,2808.57468343,7233.203239705622,23
1609329600,2020-12-30 12:00:00,EOS/USD,2.5838,2.5861,2.5615,2.5849,2.5726,24114.03884294,62332.37900511561,90
1609326000,2020-12-30 11:00:00,EOS/USD,2.5961,2.5972,2.5778,2.5791,2.5894,28853.81447418,74416.87291035763,45
1609322400,2020-12-30 10:00:00,EOS/USD,2.5686,2.6075,2.5686,2.6042,2.5755,5266.99847578,13716.317430626277,44
1609318800,2020-12-30 09:00:00,EOS/USD,2.5601,2.5846,2.5338,2.5805,2.5502,46901.13945932,121028.39037477526,80
1609315200,2020-12-30 08:00:00,EOS/USD,2.5756,2.6300,2.5650,2.5752,2.5877,54745.66287941,140981.03104705666,149
1609311600,2020-12-30 07:00:00,EOS/USD,2.5944,2.6024,2.5697,2.5697,2.5985,3545.35112307,9110.48878095298,21
1609308000,2020-12-30 06:00:00,EOS/USD,2.5704,2.6029,2.5660,2.5926,2.5728,40979.12326974,106242.47498912792,80
1609304400,2020-12-30 05:00:00,EOS/USD,2.5714,2.5822,2.5441,2.5730,2.5669,16139.05921179,41525.79935193567,72
1609300800,2020-12-30 04:00:00,EOS/USD,2.6140,2.6140,2.5656,2.5798,2.5830,3493.79078649,9013.281470986902,46
1609297200,2020-12-30 03:00:00,EOS/USD,2.6182,2.6393,2.6063,2.6116,2.6236,30197.08819903,78862.71554058675,127
1609293600,2020-12-30 02:00:00,EOS/USD,2.6342,2.6346,2.6132,2.6155,2.6264,3465.62981240,9064.3547743322,121
1609290000,2020-12-30 01:00:00,EOS/USD,2.6620,2.6620,2.6385,2.6385,2.6495,5736.68035045,15136.231104662325,89
1609286400,2020-12-30 00:00:00,EOS/USD,2.6373,2.6667,2.6198,2.6649,2.6499,8769.23232177,23369.127214284872,219
1609282800,2020-12-29 23:00:00,EOS/USD,2.6026,2.6396,2.5973,2.6366,2.6112,1453.30165465,3831.77514265019,122
1609279200,2020-12-29 22:00:00,EOS/USD,2.6100,2.6280,2.6016,2.6016,2.6156,3241.11313363,8432.079928451807,86
1609275600,2020-12-29 21:00:00,EOS/USD,2.6044,2.6175,2.5956,2.6099,2.6081,2549.16260278,6653.059476995521,127
1609272000,2020-12-29 20:00:00,EOS/USD,2.5937,2.6043,2.5671,2.6043,2.5923,9710.20422433,25288.284861422617,97
1609268400,2020-12-29 19:00:00,EOS/USD,2.5807,2.6099,2.5807,2.6063,2.6011,5505.19946668,14348.201370008084,141
1609264800,2020-12-29 18:00:00,EOS/USD,2.6208,2.6208,2.5768,2.5813,2.5926,22444.69257522,57936.48494441539,134
