unix,date,symbol,open,high,low,close,vwap,Volume ETH,Volume USD,tradecount
1609545600,2021-01-02 00:00:00,ETH/USD,730.95,731.81,726.13,728.09,729.26,713.72982792,519659.55041027284,211
1609542000,2021-01-01 23:00:00,ETH/USD,730.15,731.99,730.01,730.85,731.06,707.15928246,516827.361585891,388
1609538400,2021-01-01 22:00:00,ETH/USD,729.82,733.00,727.79,731.14,730.74,1262.00699531,922703.7945509534,435
1609534800,2021-01-01 21:00:00,ETH/USD,731.43,731.99,728.49,729.72,730.12,1068.01720382,779353.5139715305,403
1609531200,2021-01-01 20:00:00,ETH/USD,727.02,732.00,724.84,731.80,729.55,1917.95115152,1403556.6526823358,489
1609527600,2021-01-01 19:00:00,ETH/USD,725.46,729.46,722.60,727.36,725.80,1979.77256422,1440007.3723110592,671
1609524000,2021-01-01 18:00:00,ETH/USD,729.33,733.45,717.00,726.28,724.46,6352.89951619,4613983.860618473,1670
1609520400,2021-01-01 17:00:00,ETH/USD,737.35,738.16,728.81,729.62,732.78,3560.19981527,2597592.989217297,835
1609516800,2021-01-01 16:00:00,ETH/USD,737.47,739.36,735.31,737.70,737.53,1293.68839903,954353.9319644311,401
1609513200,2021-01-01 15:00:00,ETH/USD,739.68,741.28,736.00,737.15,738.28,1185.78620289,874102.2994603635,407
1609509600,2021-01-01 14:00:00,ETH/USD,741.81,744.00,738.88,739.53,740.94,841.83757439,622564.1413886367,432
1609506000,2021-01-01 13:00:00,ETH/USD,734.86,743.16,734.72,741.82,738.78,1345.37000067,998022.3738970195,483
1609502400,2021-01-01 12:00:00,ETH/USD,740.39,745.12,734.25,734.83,739.49,2182.57089970,1603818.5742265512,840
1609498800,2021-01-01 11:00:00,ETH/USD,738.60,742.88,737.87,740.44,741.06,1215.45031972,899968.0347334768,336
1609495200,2021-01-01 10:00:00,ETH/USD,735.23,740.29,735.02,737.97,738.22,690.90938747,509870.40067123587,301
1609491600,2021-01-01 09:00:00,ETH/USD,731.17,735.97,730.44,735.24,733.90,1448.87643853,1065271.9126647974,369
1609488000,2021-01-01 08:00:00,ETH/USD,739.08,739.65,727.20,731.38,732.13,2486.88537772,1818858.2275568538,769
1609484400,2021-01-01 07:00:00,ETH/USD,740.97,741.57,735.26,738.31,738.34,1681.27787221,1241304.265831365,532
1609480800,2021-01-01 06:00:00,ETH/USD,741.99,743.83,737.00,740.82,739.96,2609.31993418,1933036.3936392278,840
1609477200,2021-01-01 05:00:00,ETH/USD,743.41,743.79,741.12,741.64,741.90,1144.15065747,848547.8936060508,410
1609473600,2021-01-01 04:00:00,ETH/USD,746.65,747.99,740.00,743.40,745.07,1159.72427197,862139.023782498,544
1609470000,2021-01-01 03:00:00,ETH/USD,745.85,748.00,745.04,747.00,746.82,897.89994873,670731.26170131,506
1609466400,2021-01-01 02:00:00,ETH/USD,749.89,750.00,743.62,745.86,746.62,1262.65990747,941767.5185855742,699
1609462800,2021-01-01 01:00:00,ETH/USD,735.59,750.00,735.35,749.88,744.12,4209.82891826,3156866.509224809,1002
1609459200,2021-01-01 00:00:00,ETH/USD,737.35,739.78,731.25,735.34,734.45,1725.96721880,1269172.734672392,1774
1609455600,2020-12-31 23:00:00,ETH/USD,741.39,742.34,733.28,737.45,738.60,1547.98498553,1141561.5275790985,684
1609452000,2020-12-31 22:00:00,ETH/USD,739.27,743.00,736.68,741.50,739.05,1388.99129219,1029937.043158885,499
1609448400,2020-12-31 21:00:00,ETH/USD,745.38,745.68,737.49,739.08,741.03,1334.26991711,986132.2103376589,552
1609444800,2020-12-31 20:00:00,ETH/USD,739.46,745.37,739.07,745.09,740.77,1365.98437968,1017781.3014557713,520
1609441200,2020-12-31 19:00:00,ETH/USD,740.83,742.97,738.44,739.53,741.09,1559.44648617,1153257.4599173001,444
1609437600,2020-12-31 18:00:00,ETH/USD,738.11,740.95,736.35,740.86,738.64,1771.83162380,1312679.176808468,411
1609434000,2020-12-31 17:00:00,ETH/USD,727.52,742.95,727.52,737.67,738.89,4603.78106662,3396071.179413575,1063
1609430400,2020-12-31 16:00:00,ETH/USD,736.53,737.01,725.32,727.75,730.87,3792.01750034,2759640.735872435,946
1609426800,2020-12-31 15:00:00,ETH/USD,731.51,738.60,731.07,736.41,734.46,2266.49392895,1669068.7942180694,673
1609423200,2020-12-31 14:00:00,ETH/USD,734.05,734.31,723.93,731.51,727.34,7176.06058262,5249360.076792356,1282
1609419600,2020-12-31 13:00:00,ETH/USD,735.36,736.82,721.00,733.72,730.72,12559.49297490,9215151.185543628,2090
1609416000,2020-12-31 12:00:00,ETH/USD,745.61,747.60,731.58,735.60,738.60,3775.26779438,2777086.989545928,933
1609412400,2020-12-31 11:00:00,ETH/USD,751.45,751.52,745.07,745.36,747.79,1477.56574166,1101318.4012036975,427
1609408800,2020-12-31 10:00:00,ETH/USD,745.99,752.79,745.50,752.50,749.66,1507.93604478,1134721.87369695,434
1609405200,2020-12-31 09:00:00,ETH/USD,745.01,748.05,737.00,746.86,742.90,1632.54638362,1219283.592070433,573
1609401600,2020-12-31 08:00:00,ETH/USD,750.06,750.06,743.00,745.81,745.37,2006.86967519,1496743.4724534538,519
1609398000,2020-12-31 07:00:00,ETH/USD,742.70,755.00,742.70,749.44,751.20,4630.80337051,3470509.2779950146,1080
1609394400,2020-12-31 06:00:00,ETH/USD,741.11,744.59,740.85,742.23,742.47,1436.69184864,1066355.7908160673,388
1609390800,2020-12-31 05:00:00,ETH/USD,743.06,743.30,736.36,741.10,740.25,3706.26077737,2746709.862108907,689
1609387200,2020-12-31 04:00:00,ETH/USD,744.03,747.49,740.04,742.46,744.51,3828.89578805,2842801.9667956033,818
1609383600,2020-12-31 03:00:00,ETH/USD,738.32,744.93,736.06,743.39,740.95,1564.29619492,1162882.148341579,451
1609380000,2020-12-31 02:00:00,ETH/USD,737.57,742.43,736.00,738.58,739.24,2919.94535904,2156613.243279763,644
1609376400,2020-12-31 01:00:00,ETH/USD,745.87,746.53,727.46,737.74,735.96,10064.02917947,7424636.886862198,2356
1609372800,2020-12-31 00:00:00,ETH/USD,752.90,756.11,745.69,745.87,751.53,6434.16975168,4799054.192685562,1308
1609369200,2020-12-30 23:00:00,ETH/USD,745.29,754.20,745.29,752.50,749.38,3508.61442415,2640232.354172875,847
1609365600,2020-12-30 22:00:00,ETH/USD,748.46,751.25,743.13,745.42,747.73,3403.36450373,2536935.968370416,822
1609362000,2020-12-30 21:00:00,ETH/USD,752.43,755.96,742.50,748.76,750.86,5564.49730054,4166472.99875233,1628
1609358400,2020-12-30 20:00:00,ETH/USD,753.86,755.24,747.82,752.04,751.53,6230.51444154,4685596.080615741,1551
1609354800,2020-12-30 19:00:00,ETH/USD,741.99,758.00,741.50,753.16,751.99,20311.58018105,15297869.729159618,3802
1609351200,2020-12-30 18:00:00,ETH/USD,736.00,741.99,733.55,741.99,737.84,6878.95253462,5104113.991162694,1177
1609347600,2020-12-30 17:00:00,ETH/USD,733.13,738.67,730.50,736.00,735.37,9380.06445388,6903727.43805568,1405
1609344000,2020-12-30 16:00:00,ETH/USD,733.95,737.71,727.50,733.81,731.35,2368.07451330,1737716.758604673,764
1609340400,2020-12-30 15:00:00,ETH/USD,734.85,735.67,731.13,733.90,733.00,1618.87477884,1188092.2001906761,516
1609336800,2020-12-30 14:00:00,ETH/USD,724.38,736.10,724.26,734.84,731.74,1662.08854791,1221369.1485461844,804
1609333200,2020-12-30 13:00:00,ETH/USD,722.48,729.12,721.28,725.00,726.18,1585.58587461,1149549.75909225,511
1609329600,2020-12-30 12:00:00,ETH/USD,725.57,726.14,719.98,722.63,722.84,3036.41282203,2194202.9975835388,707
1609326000,2020-12-30 11:00:00,ETH/USD,729.19,730.03,720.32,725.49,724.20,4037.34902338,2929056.342971956,910
1609322400,2020-12-30 10:00:00,ETH/USD,725.24,732.59,724.54,729.11,728.57,1391.77248972,1014755.2399797493,558
