unix,date,symbol,open,high,low,close,vwap,Volume LINK,Volume USD,tradecount
1609545600,2021-01-02 00:00:00,LINK/USD,11.87258,11.87700,11.76000,11.76000,11.80013,762.93785217,8972.1491415192,15
1609459200,2021-01-01 00:00:00,LINK/USD,11.25000,12.48555,11.07800,11.87019,11.88381,545466.88736203,6474795.5916958945,4324
1609372800,2020-12-31 00:00:00,LINK/USD,11.26205,11.76106,10.95001,11.25169,11.28088,533878.63042663,6007036.847185009,3841
1609286400,2020-12-30 00:00:00,LINK/USD,11.77010,11.95840,11.07674,11.25973,11.45846,572822.74031915,6449829.393853743,4876
1609200000,2020-12-29 00:00:00,LINK/USD,12.60000,12.98936,10.80997,11.77300,11.70028,905506.51389167,10660528.18804663,9481
1609113600,2020-12-28 00:00:00,LINK/USD,12.13074,12.91115,11.96000,12.60000,12.44931,725611.05040291,9142699.235076666,8357
1609027200,2020-12-27 00:00:00,LINK/USD,10.97359,13.20839,10.46893,12.12851,11.92067,1492257.95893979,18098865.577580832,12919
1608940800,2020-12-26 00:00:00,LINK/USD,11.54751,11.80199,10.61693,10.97360,11.11951,535910.52264024,5880867.711244938,6210
1608854400,2020-12-25 00:00:00,LINK/USD,11.57652,11.89593,11.07391,11.54150,11.40093,396463.49038788,4575783.374311717,4643
1608768000,2020-12-24 00:00:00,LINK/USD,10.89696,11.68592,9.89000,11.57499,10.71090,764934.68111301,8854111.28453628,8651
1608681600,2020-12-23 00:00:00,LINK/USD,12.78136,12.84999,7.08990,11.00594,11.00655,963375.88733748,10602857.213483065,10127
1608595200,2020-12-22 00:00:00,LINK/USD,12.32646,12.84474,11.82494,12.81311,12.34457,525784.61060093,6736936.051936883,4440
1608508800,2020-12-21 00:00:00,LINK/USD,13.05914,13.24000,12.12351,12.32645,12.64265,447919.87893206,5521261.991662091,5483
1608422400,2020-12-20 00:00:00,LINK/USD,13.48864,13.77685,12.70000,13.06684,13.33425,547805.95780818,7158092.801726239,5619
1608336000,2020-12-19 00:00:00,LINK/USD,13.51717,13.97083,13.32737,13.48900,13.69293,257560.74992387,3474236.9557230826,3455
1608249600,2020-12-18 00:00:00,LINK/USD,13.46815,14.00000,13.17940,13.52428,13.55742,386420.40060969,5226057.695557618,4013
1608163200,2020-12-17 00:00:00,LINK/USD,13.51570,14.57301,13.10277,13.46717,13.81424,797636.21956651,10741902.567059515,8887
1608076800,2020-12-16 00:00:00,LINK/USD,12.68278,13.52702,12.33049,13.51980,12.94808,635626.32882710,8593540.840476627,6274
1607990400,2020-12-15 00:00:00,LINK/USD,12.84000,13.01678,12.45001,12.69020,12.70285,262526.50623271,3331513.8693943364,3835
