unix,date,symbol,open,high,low,close,vwap,Volume LINK,Volume USD,tradecount
1609545600,2021-01-02 00:00:00,LINK/USD,11.87258,11.87700,11.76000,11.78771,11.79201,1101.90043069,12988.88272584882,26
1609542000,2021-01-01 23:00:00,LINK/USD,11.86980,11.92296,11.81262,11.87019,11.87743,27261.49606671,323599.13799610035,187
1609538400,2021-01-01 22:00:00,LINK/USD,12.06200,12.06200,11.88636,11.88636,11.96450,22231.14973028,264247.448908011,103
1609534800,2021-01-01 21:00:00,LINK/USD,11.95700,12.11721,11.94312,12.06169,11.99373,26520.55333309,319882.69293219835,187
1609531200,2021-01-01 20:00:00,LINK/USD,11.81210,11.98399,11.77501,11.98399,11.86693,8338.56746532,99929.30911872024,84
1609527600,2021-01-01 19:00:00,LINK/USD,11.83927,11.90810,11.78917,11.83422,11.84572,11204.10372111,132591.82833843437,107
1609524000,2021-01-01 18:00:00,LINK/USD,12.08494,12.14354,11.56603,11.84058,11.82884,33679.55329675,398785.44517443207,334
1609520400,2021-01-01 17:00:00,LINK/USD,12.29414,12.29430,11.97336,12.09000,12.12093,36197.31264092,437625.50982872274,259
1609516800,2021-01-01 16:00:00,LINK/USD,12.16980,12.36205,12.04592,12.29620,12.19318,36292.54870102,446260.4373374822,258
1609513200,2021-01-01 15:00:00,LINK/USD,12.17583,12.19992,11.98435,12.16512,12.11638,29008.59589005,352893.0500339651,214
1609509600,2021-01-01 14:00:00,LINK/USD,12.16697,12.30001,12.11017,12.16245,12.20726,21738.75282581,264396.4943062728,128
1609506000,2021-01-01 13:00:00,LINK/USD,12.08874,12.26513,12.08874,12.17515,12.20219,36930.27391449,449631.6244500029,251
1609502400,2021-01-01 12:00:00,LINK/USD,11.75369,12.48555,11.75369,12.08176,12.18736,75149.29464025,907935.7420127867,740
1609498800,2021-01-01 11:00:00,LINK/USD,11.50198,11.77689,11.50198,11.73393,11.72942,41101.56546555,482282.8920631811,185
1609495200,2021-01-01 10:00:00,LINK/USD,11.37285,11.51795,11.37285,11.49903,11.48100,17510.33581169,201351.87680869768,73
1609491600,2021-01-01 09:00:00,LINK/USD,11.36365,11.39290,11.34000,11.36522,11.36437,9135.97977833,103832.42009627169,79
1609488000,2021-01-01 08:00:00,LINK/USD,11.40092,11.41596,11.27500,11.34756,11.35157,13076.35637403,148384.73853568785,124
1609484400,2021-01-01 07:00:00,LINK/USD,11.43873,11.46936,11.33871,11.39901,11.39995,12173.82704240,138769.57619458804,93
1609480800,2021-01-01 06:00:00,LINK/USD,11.47424,11.47768,11.40000,11.42032,11.43791,3070.37613629,35064.67799679541,65
1609477200,2021-01-01 05:00:00,LINK/USD,11.46400,11.46400,11.42833,11.44440,11.44796,1265.49086974,14482.783709652456,21
1609473600,2021-01-01 04:00:00,LINK/USD,11.51529,11.54498,11.41019,11.46788,11.47152,11351.48557461,130177.47439135853,138
1609470000,2021-01-01 03:00:00,LINK/USD,11.59344,11.60709,11.47843,11.51035,11.54895,13422.32502298,154495.65882825785,141
1609466400,2021-01-01 02:00:00,LINK/USD,11.48720,11.63939,11.45101,11.63787,11.53477,7419.61696961,86348.53774211512,84
1609462800,2021-01-01 01:00:00,LINK/USD,11.29753,11.58200,11.29753,11.49561,11.46154,36795.07624847,422981.8464726742,342
1609459200,2021-01-01 00:00:00,LINK/USD,11.25000,11.29612,11.07800,11.29612,11.19444,14592.24984253,164835.8052912,127
1609455600,2020-12-31 23:00:00,LINK/USD,11.14832,11.29999,11.02878,11.25169,11.17342,25281.95604706,284464.7320351445,248
1609452000,2020-12-31 22:00:00,LINK/USD,11.21874,11.22282,11.14832,11.16816,11.16842,27594.28703500,308177.41269280564,140
1609448400,2020-12-31 21:00:00,LINK/USD,11.20175,11.24080,11.19211,11.22765,11.20668,13366.62803397,150075.8212456033,108
1609444800,2020-12-31 20:00:00,LINK/USD,11.25783,11.25783,11.18981,11.20185,11.19720,22030.19698718,246778.96212084228,100
1609441200,2020-12-31 19:00:00,LINK/USD,11.29639,11.29639,11.20000,11.24838,11.23134,17303.76146064,194639.28433863373,128
1609437600,2020-12-31 18:00:00,LINK/USD,11.27714,11.29124,11.23929,11.29124,11.26909,19231.43699997,217146.77071154126,122
1609434000,2020-12-31 17:00:00,LINK/USD,11.24618,11.38478,11.23000,11.26249,11.24329,57340.18434629,645793.2527982476,259
1609430400,2020-12-31 16:00:00,LINK/USD,11.20857,11.49000,11.11141,11.26432,11.33480,38761.76687780,436624.9458769401,240
1609426800,2020-12-31 15:00:00,LINK/USD,11.19859,11.28500,11.17967,11.21201,11.22033,11559.40678273,129604.18444203658,75
1609423200,2020-12-31 14:00:00,LINK/USD,11.37733,11.38056,11.14140,11.18486,11.25536,15302.78654087,171159.52506951522,144
1609419600,2020-12-31 13:00:00,LINK/USD,11.42361,11.42668,11.22283,11.37880,11.33725,13257.29448303,150852.10246350177,140
1609416000,2020-12-31 12:00:00,LINK/USD,11.61980,11.61980,11.31623,11.42728,11.51380,37383.76805219,427194.7849874297,230
1609412400,2020-12-31 11:00:00,LINK/USD,11.69513,11.69513,11.54952,11.55000,11.60641,9312.29255166,107556.97897167302,80
1609408800,2020-12-31 10:00:00,LINK/USD,11.61674,11.76106,11.60028,11.69529,11.70262,18920.35653663,221279.05659928347,162
1609405200,2020-12-31 09:00:00,LINK/USD,11.46105,11.69761,11.41793,11.64301,11.58400,19360.74097014,225417.30072274973,133
1609401600,2020-12-31 08:00:00,LINK/USD,11.48105,11.53797,11.40599,11.49550,11.47867,12467.71491691,143322.6168273389,115
1609398000,2020-12-31 07:00:00,LINK/USD,11.21913,11.61755,11.21913,11.48224,11.45255,30547.82380977,350757.44446149346,258
1609394400,2020-12-31 06:00:00,LINK/USD,11.12989,11.21886,11.12594,11.21404,11.19804,8228.44684540,92274.13206218943,72
1609390800,2020-12-31 05:00:00,LINK/USD,11.22722,11.23863,11.10000,11.12456,11.15978,18679.89356675,207805.59677692442,132
1609387200,2020-12-31 04:00:00,LINK/USD,11.20536,11.32500,11.20536,11.21494,11.27350,12778.34329449,143308.35334710768,102
1609383600,2020-12-31 03:00:00,LINK/USD,11.16819,11.25213,11.13608,11.21918,11.20263,10619.89011062,119146.45873126568,87
1609380000,2020-12-31 02:00:00,LINK/USD,11.07489,11.28761,11.07489,11.17284,11.18634,14162.66321479,158237.17007273433,145
1609376400,2020-12-31 01:00:00,LINK/USD,11.10800,11.10800,10.95001,11.07606,11.03000,64015.17095070,709035.8743602103,458
1609372800,2020-12-31 00:00:00,LINK/USD,11.26205,11.26205,11.10000,11.11557,11.16600,16371.82001204,181982.11137123147,163
1609369200,2020-12-30 23:00:00,LINK/USD,11.27847,11.41072,11.23937,11.25973,11.31711,11016.25044151,124040.00558378338,114
1609365600,2020-12-30 22:00:00,LINK/USD,11.25465,11.33364,11.23000,11.29109,11.27501,5781.40332093,65278.34522291951,71
1609362000,2020-12-30 21:00:00,LINK/USD,11.28368,11.36307,11.20108,11.21506,11.27137,17426.45615307,195438.75134404923,188
1609358400,2020-12-30 20:00:00,LINK/USD,11.31863,11.31863,11.16983,11.28000,11.26519,36430.63968884,410937.61569011514,211
1609354800,2020-12-30 19:00:00,LINK/USD,11.12000,11.44523,11.09678,11.31451,11.27616,16939.99632406,191667.75780854013,243
1609351200,2020-12-30 18:00:00,LINK/USD,11.28043,11.28044,11.07674,11.11500,11.15796,24421.97226293,271450.22170246695,246
1609347600,2020-12-30 17:00:00,LINK/USD,11.24000,11.39484,11.22097,11.28342,11.25370,30692.35499695,346314.73221968557,214
1609344000,2020-12-30 16:00:00,LINK/USD,11.27844,11.36702,11.12318,11.24000,11.23817,47220.60581013,530759.6093058612,351
1609340400,2020-12-30 15:00:00,LINK/USD,11.37327,11.37327,11.25360,11.27844,11.29169,33386.27725603,376545.12485549896,265
1609336800,2020-12-30 14:00:00,LINK/USD,11.32269,11.48741,11.32269,11.38316,11.37573,31332.55342802,356663.4688797002,154
1609333200,2020-12-30 13:00:00,LINK/USD,11.39338,11.45082,11.32213,11.32213,11.39350,15029.41174655,170164.95361796615,89
1609329600,2020-12-30 12:00:00,LINK/USD,11.30986,11.43549,11.25671,11.36940,11.32272,20940.78561024,238084.16791706267,122
1609326000,2020-12-30 11:00:00,LINK/USD,11.49464,11.50936,11.28763,11.31000,11.38324,20407.34257722,230807.0445483582,135
1609322400,2020-12-30 10:00:00,LINK/USD,11.43203,11.53273,11.39685,11.50517,11.46885,10530.67196118,121157.1711276093,58
1609318800,2020-12-30 09:00:00,LINK/USD,11.44985,11.44986,11.28671,11.42000,11.37401,15611.11528641,178278.9365708022,133
1609315200,2020-12-30 08:00:00,LINK/USD,11.64390,11.69734,11.41882,11.44166,11.52230,18721.57121190,214205.8524723478,232
1609311600,2020-12-30 07:00:00,LINK/USD,11.66139,11.84926,11.64390,11.64390,11.75217,9976.94175614,116170.51211431855,134
1609308000,2020-12-30 06:00:00,LINK/USD,11.57572,11.70001,11.56697,11.67148,11.66401,17108.27023967,199678.83393690363,167
1609304400,2020-12-30 05:00:00,LINK/USD,11.58867,11.63399,11.55221,11.57892,11.59686,18298.10566413,211872.3016365081,152
1609300800,2020-12-30 04:00:00,LINK/USD,11.54026,11.63589,11.49877,11.59150,11.58344,22479.38920766,260569.84000059086,134
1609297200,2020-12-30 03:00:00,LINK/USD,11.61443,11.68770,11.52523,11.54683,11.61394,22013.39871958,254184.97273720792,181
1609293600,2020-12-30 02:00:00,LINK/USD,11.70904,11.73011,11.60911,11.61323,11.67033,19179.27549387,222733.3375436759,301
1609290000,2020-12-30 01:00:00,LINK/USD,11.89477,11.89913,11.70783,11.70783,11.78137,22855.13489869,267584.0340209298,319
1609286400,2020-12-30 00:00:00,LINK/USD,11.77010,11.95840,11.63199,11.89950,11.77488,85022.81626344,1011729.0021268043,662
1609282800,2020-12-29 23:00:00,LINK/USD,11.69853,11.79846,11.53188,11.77300,11.68711,34821.11364915,409948.97099144297,378
1609279200,2020-12-29 22:00:00,LINK/USD,11.55468,11.81997,11.44835,11.65984,11.60728,17491.92336455,203953.02772291467,381
1609275600,2020-12-29 21:00:00,LINK/USD,11.44852,11.62510,11.44852,11.55487,11.53381,11262.44180377,130136.05092512786,295
1609272000,2020-12-29 20:00:00,LINK/USD,11.56785,11.56785,11.37957,11.44852,11.45754,32545.50454939,372597.85974378244,304
1609268400,2020-12-29 19:00:00,LINK/USD,11.47768,11.65671,11.43585,11.57967,11.53998,24647.37912682,285408.51665346377,383
1609264800,2020-12-29 18:00:00,LINK/USD,11.46301,11.51984,11.35600,11.51171,11.42336,29272.89353779,336981.06126791256,395
1609261200,2020-12-29 17:00:00,LINK/USD,11.20694,11.45638,11.06080,11.45638,11.32210,94109.50597344,1078154.2620439986,626
1609257600,2020-12-29 16:00:00,LINK/USD,11.30048,11.30048,10.80997,11.24796,11.01100,146192.30059899,1644365.1494454157,1122
1609254000,2020-12-29 15:00:00,LINK/USD,11.60431,11.69785,11.30000,11.30001,11.42811,53672.78635975,606503.0225930386,529
1609250400,2020-12-29 14:00:00,LINK/USD,11.86100,11.86459,11.51226,11.53002,11.69050,58866.10758853,678727.3978179027,437
1609246800,2020-12-29 13:00:00,LINK/USD,11.89372,11.94477,11.73771,11.86000,11.87439,33162.35297270,393305.50625622197,370
1609243200,2020-12-29 12:00:00,LINK/USD,12.03875,12.16660,11.88946,11.89756,12.03357,14383.02369230,171122.8873605608,169
1609239600,2020-12-29 11:00:00,LINK/USD,12.09756,12.17933,11.84627,11.97805,11.98848,28526.93173288,341697.01464302326,286
1609236000,2020-12-29 10:00:00,LINK/USD,12.05870,12.22259,12.05870,12.10091,12.13756,9094.63465396,110053.3554304511,183
1609232400,2020-12-29 09:00:00,LINK/USD,12.11426,12.19658,11.94914,12.05763,12.03025,13928.29239719,167942.19625713007,188
