unix,date,symbol,open,high,low,close,vwap,Volume XMR,Volume USD,tradecount
1609545600,2021-01-02 00:00:00,XMR/USD,135.70,135.70,132.40,133.40,133.88,3395.12560799,452909.756105866,200
1609459200,2021-01-01 00:00:00,XMR/USD,155.92,169.19,130.23,135.70,145.29,82268.07863644,11163778.270964907,7909
1609372800,2020-12-31 00:00:00,XMR/USD,160.52,161.00,155.63,156.57,158.34,13538.73516953,2119759.765493312,1794
1609286400,2020-12-30 00:00:00,XMR/USD,161.60,163.90,158.18,160.79,160.71,13603.46048560,2187300.411479624,2867
1609200000,2020-12-29 00:00:00,XMR/USD,166.23,167.20,155.04,161.85,159.96,12008.04740487,1943502.4724782093,3487
1609113600,2020-12-28 00:00:00,XMR/USD,156.82,168.63,156.49,166.22,163.36,9336.04997161,1551838.2262810143,2557
1609027200,2020-12-27 00:00:00,XMR/USD,167.84,170.76,156.04,156.75,163.73,15690.82919905,2459537.4769510874,3617
1608940800,2020-12-26 00:00:00,XMR/USD,159.38,167.92,159.11,167.83,164.71,7172.22198501,1203714.0157442284,2402
1608854400,2020-12-25 00:00:00,XMR/USD,156.82,160.84,152.71,159.10,156.31,5724.37375354,910747.864188214,2042
1608768000,2020-12-24 00:00:00,XMR/USD,150.74,158.47,146.78,156.73,151.75,7140.46152218,1119124.5343712715,2436
1608681600,2020-12-23 00:00:00,XMR/USD,156.60,168.55,148.13,150.92,159.70,15060.03100700,2272859.87957644,3874
1608595200,2020-12-22 00:00:00,XMR/USD,145.74,157.56,143.95,156.59,150.85,6006.49413585,940556.9167327515,1782
1608508800,2020-12-21 00:00:00,XMR/USD,151.88,153.59,142.65,145.99,147.81,6720.37250237,981107.1816209963,2452
1608422400,2020-12-20 00:00:00,XMR/USD,154.45,156.85,151.42,152.38,153.21,6633.79975712,1010858.4069899456,1623
1608336000,2020-12-19 00:00:00,XMR/USD,154.58,158.36,154.18,155.10,156.11,8232.33353672,1276834.931545272,1714
1608249600,2020-12-18 00:00:00,XMR/USD,160.29,160.29,153.16,154.73,156.52,6677.23216755,1033168.1332850114,1575
1608163200,2020-12-17 00:00:00,XMR/USD,158.98,163.96,154.53,160.74,158.63,19340.16050588,3108737.3997151516,3914
1608076800,2020-12-16 00:00:00,XMR/USD,150.83,159.32,147.39,158.67,152.49,11787.10450872,1870259.8723986023,2884
1607990400,2020-12-15 00:00:00,XMR/USD,152.52,155.84,150.73,150.73,153.12,7004.58542593,1055801.161250429,2503
1607904000,2020-12-14 00:00:00,XMR/USD,152.00,157.59,150.64,152.56,154.01,9988.99323502,1523920.8079346512,2756
1607817600,2020-12-13 00:00:00,XMR/USD,146.86,152.21,143.85,152.21,148.07,9533.41617313,1451081.2757121173,2591
1607731200,2020-12-12 00:00:00,XMR/USD,142.53,174.44,141.85,147.14,150.76,25288.80085883,3720994.1583682457,5918
1607644800,2020-12-11 00:00:00,XMR/USD,133.42,142.70,129.86,142.28,137.91,9659.06697759,1374292.0495715053,2505
1607558400,2020-12-10 00:00:00,XMR/USD,133.23,135.09,129.62,133.76,132.52,3306.02356739,442213.7123740864,721
1607472000,2020-12-09 00:00:00,XMR/USD,135.18,135.18,127.14,132.45,131.61,9682.31813374,1282423.0368138629,1316
1607385600,2020-12-08 00:00:00,XMR/USD,139.01,143.00,133.00,135.45,137.36,13888.54986858,1881204.0796991608,1753
1607299200,2020-12-07 00:00:00,XMR/USD,134.40,144.13,133.99,139.00,139.33,15986.79695506,2222164.77675334,2337
1607212800,2020-12-06 00:00:00,XMR/USD,133.47,134.75,128.51,134.52,132.12,2395.39787599,322228.92227817484,682
1607126400,2020-12-05 00:00:00,XMR/USD,126.79,133.46,124.62,133.46,129.42,2764.69650502,368976.39555996924,671
1607040000,2020-12-04 00:00:00,XMR/USD,133.52,135.67,126.87,126.91,131.82,7118.69719936,903433.8615707776,1226
1606953600,2020-12-03 00:00:00,XMR/USD,128.37,133.78,126.74,133.24,130.13,4499.30593044,599487.5221718256,1026
1606867200,2020-12-02 00:00:00,XMR/USD,125.00,129.11,124.08,127.93,127.42,1912.77114772,244700.8129278196,648
1606780800,2020-12-01 00:00:00,XMR/USD,130.70,132.69,119.21,126.46,127.53,6755.71115392,854327.232524723,1722
1606694400,2020-11-30 00:00:00,XMR/USD,123.99,130.10,121.89,130.10,127.52,8428.61893946,1096563.324023746,1817
1606608000,2020-11-29 00:00:00,XMR/USD,121.58,125.97,119.53,123.99,123.01,1778.68729678,220539.43792775218,658
1606521600,2020-11-28 00:00:00,XMR/USD,117.47,125.00,114.47,122.04,120.67,4392.13635282,536016.3204981529,1036
1606435200,2020-11-27 00:00:00,XMR/USD,120.14,122.07,111.20,117.36,116.11,4483.31080263,526161.3557966568,988
1606348800,2020-11-26 00:00:00,XMR/USD,128.95,132.21,103.10,120.00,117.41,22327.06775758,2679248.1309096,4327
1606262400,2020-11-25 00:00:00,XMR/USD,135.40,138.98,126.03,129.41,133.89,10961.91333178,1418581.20426565,2662
1606176000,2020-11-24 00:00:00,XMR/USD,129.65,143.24,127.20,135.61,134.03,26865.85608504,3643278.7436922747,6090
1606089600,2020-11-23 00:00:00,XMR/USD,124.09,131.33,122.38,130.33,127.82,9067.25056989,1181734.7667737638,2122
1606003200,2020-11-22 00:00:00,XMR/USD,128.77,129.86,119.22,123.47,124.48,5539.11747300,683914.83439131,1440
1605916800,2020-11-21 00:00:00,XMR/USD,121.20,129.43,119.66,128.67,125.18,6895.22855365,887209.0579981455,1430
1605830400,2020-11-20 00:00:00,XMR/USD,118.71,122.95,118.07,121.07,120.47,6866.93733284,831380.1028869387,1292
1605744000,2020-11-19 00:00:00,XMR/USD,123.77,123.77,117.33,118.73,120.02,3667.86599103,435485.7291149919,1001
1605657600,2020-11-18 00:00:00,XMR/USD,125.98,126.66,119.44,123.75,122.96,7441.53009436,920889.3491770499,1434
1605571200,2020-11-17 00:00:00,XMR/USD,118.50,125.77,118.00,125.77,121.43,12459.65625352,1567050.9670052102,1608
1605484800,2020-11-16 00:00:00,XMR/USD,114.33,119.89,113.80,118.47,118.15,4561.82605517,540439.5327559898,1026
1605398400,2020-11-15 00:00:00,XMR/USD,116.91,117.96,113.03,114.90,115.72,2387.21844981,274291.39988316904,522
1605312000,2020-11-14 00:00:00,XMR/USD,114.31,117.74,113.55,116.82,115.19,3787.20623184,442421.4320035488,746
1605225600,2020-11-13 00:00:00,XMR/USD,112.31,115.00,111.75,114.02,113.57,4733.86628897,539755.4342683593,1019
1605139200,2020-11-12 00:00:00,XMR/USD,113.39,115.30,110.50,112.09,112.07,5111.58325986,572957.3675977074,1077
1605052800,2020-11-11 00:00:00,XMR/USD,115.76,117.95,113.45,113.45,115.80,7040.10891021,798700.3558633246,1013
1604966400,2020-11-10 00:00:00,XMR/USD,115.90,118.19,114.52,115.50,116.36,5125.39410177,591983.018754435,879
1604880000,2020-11-09 00:00:00,XMR/USD,120.22,122.17,114.21,115.74,117.08,6151.46247520,711970.266879648,1014
1604793600,2020-11-08 00:00:00,XMR/USD,111.10,120.72,109.76,120.11,116.34,4455.81038138,535187.3849075518,1021
1604707200,2020-11-07 00:00:00,XMR/USD,119.63,126.19,109.74,111.10,117.59,11241.05347586,1248881.041168046,1962
1604620800,2020-11-06 00:00:00,XMR/USD,119.58,124.53,116.62,119.53,120.50,6381.99263468,762839.5796233005,1519
1604534400,2020-11-05 00:00:00,XMR/USD,116.45,120.55,111.00,119.98,116.97,9074.07472125,1088707.485055575,1636
1604448000,2020-11-04 00:00:00,XMR/USD,121.59,121.90,113.93,115.89,118.34,4911.83995677,569233.1325900753,922
1604361600,2020-11-03 00:00:00,XMR/USD,119.02,121.79,116.58,121.14,118.94,4312.29127186,522390.9646731204,1054
1604275200,2020-11-02 00:00:00,XMR/USD,127.00,128.18,115.67,119.14,121.37,4515.23266530,537944.819743842,923
1604188800,2020-11-01 00:00:00,XMR/USD,126.37,127.20,124.00,127.00,125.62,1669.42605673,212017.10920471,408
1604102400,2020-10-31 00:00:00,XMR/USD,123.12,128.27,121.70,126.57,125.01,3051.14048818,386182.8515889426,794
1604016000,2020-10-30 00:00:00,XMR/USD,124.44,125.40,118.21,122.89,122.12,3480.94890791,427773.8112930599,979
1603929600,2020-10-29 00:00:00,XMR/USD,126.59,128.40,111.00,124.17,124.31,9022.33623202,1120303.4899299233,1494
1603843200,2020-10-28 00:00:00,XMR/USD,133.80,135.29,124.10,126.59,129.34,5967.70531111,755451.8153334149,1334
1603756800,2020-10-27 00:00:00,XMR/USD,131.57,138.00,131.57,134.07,135.23,6255.33863317,838653.2505491019,1467
1603670400,2020-10-26 00:00:00,XMR/USD,131.33,139.25,129.29,131.49,134.12,12314.64445604,1619252.5995246996,2189
1603584000,2020-10-25 00:00:00,XMR/USD,129.62,133.83,127.84,131.26,131.39,6053.06118901,794524.8116694526,1181
1603497600,2020-10-24 00:00:00,XMR/USD,127.57,130.43,125.58,129.41,128.12,1574.98946420,203819.38656212197,508
1603411200,2020-10-23 00:00:00,XMR/USD,127.35,128.00,122.70,127.49,126.02,8403.40263698,1071349.8021885802,1204
1603324800,2020-10-22 00:00:00,XMR/USD,127.20,128.49,126.49,127.80,127.36,724.20466033,92553.355590174,214
1603238400,2020-10-21 00:00:00,XMR/USD,118.14,125.72,116.70,121.51,123.11,6739.65797966,818935.8411084866,1509
1603152000,2020-10-20 00:00:00,XMR/USD,125.91,127.21,117.57,118.57,121.40,9203.75971517,1091289.7894277067,1883
1603065600,2020-10-19 00:00:00,XMR/USD,124.93,130.29,123.01,125.80,126.87,8678.69059388,1091779.276710104,1684
1602979200,2020-10-18 00:00:00,XMR/USD,120.30,125.25,120.29,125.06,122.46,3084.62395096,385763.07130705763,772
1602892800,2020-10-17 00:00:00,XMR/USD,121.13,123.18,119.71,120.25,120.92,3187.90859419,383346.0084513475,810
1602806400,2020-10-16 00:00:00,XMR/USD,130.34,132.76,119.57,121.06,123.25,13133.65332365,1589960.071361069,1929
