unix,date,symbol,open,high,low,close,vwap,Volume XRP,Volume USD,tradecount
1609545600,2021-01-02 00:00:00,XRP/USD,0.23814,0.23814,0.23486,0.23569,0.23682,346391.33104862,81640.97281484924,85
1609542000,2021-01-01 23:00:00,XRP/USD,0.23848,0.24027,0.23480,0.23804,0.23680,1959193.74807577,466366.4797919563,445
1609538400,2021-01-01 22:00:00,XRP/USD,0.23833,0.23999,0.23765,0.23828,0.23859,1981217.57028676,472084.5226479292,447
1609534800,2021-01-01 21:00:00,XRP/USD,0.23766,0.24174,0.23712,0.23850,0.23970,3044742.47423279,726171.0801045204,640
1609531200,2021-01-01 20:00:00,XRP/USD,0.23426,0.23850,0.23378,0.23779,0.23665,1892105.98714399,449923.8826829694,448
1609527600,2021-01-01 19:00:00,XRP/USD,0.23480,0.23715,0.23037,0.23418,0.23402,1773617.88448293,415345.83618821256,543
1609524000,2021-01-01 18:00:00,XRP/USD,0.23729,0.24155,0.22991,0.23512,0.23546,5797832.81931083,1363186.4524763622,1192
1609520400,2021-01-01 17:00:00,XRP/USD,0.24718,0.25092,0.23452,0.23742,0.24321,6013911.30480310,1427822.821986352,1397
1609516800,2021-01-01 16:00:00,XRP/USD,0.24415,0.25000,0.24119,0.24752,0.24638,4693370.41472748,1161703.0450533458,931
1609513200,2021-01-01 15:00:00,XRP/USD,0.23779,0.24531,0.23704,0.24356,0.24040,3895481.02067593,948783.3573958295,800
1609509600,2021-01-01 14:00:00,XRP/USD,0.23480,0.23836,0.23330,0.23753,0.23521,1058540.48184698,251435.12065311318,324
1609506000,2021-01-01 13:00:00,XRP/USD,0.23372,0.23669,0.23372,0.23496,0.23534,1311060.11935521,308046.6856437002,314
1609502400,2021-01-01 12:00:00,XRP/USD,0.23737,0.24080,0.23204,0.23392,0.23660,2579487.77422264,603393.7801461599,724
1609498800,2021-01-01 11:00:00,XRP/USD,0.23742,0.24308,0.23638,0.23797,0.23930,1983226.70361866,471948.45866013254,632
1609495200,2021-01-01 10:00:00,XRP/USD,0.23249,0.23966,0.23062,0.23703,0.23488,2045233.80608948,484781.7690573894,414
1609491600,2021-01-01 09:00:00,XRP/USD,0.22973,0.23663,0.22973,0.23308,0.23329,3025959.99977062,705290.7567465361,592
1609488000,2021-01-01 08:00:00,XRP/USD,0.22987,0.23245,0.22595,0.22949,0.22926,2824369.68776750,648164.5996457636,481
1609484400,2021-01-01 07:00:00,XRP/USD,0.23453,0.23462,0.22640,0.22987,0.22930,4126686.27767977,948601.3746502487,950
1609480800,2021-01-01 06:00:00,XRP/USD,0.23883,0.23920,0.23100,0.23431,0.23480,2278928.17971951,533975.6617900784,722
1609477200,2021-01-01 05:00:00,XRP/USD,0.23941,0.24186,0.23351,0.23866,0.23739,4503142.19889195,1074719.917187553,1121
1609473600,2021-01-01 04:00:00,XRP/USD,0.22800,0.25064,0.22681,0.23912,0.24160,15203848.53536351,3635544.2617761227,3618
1609470000,2021-01-01 03:00:00,XRP/USD,0.22408,0.23000,0.22383,0.22770,0.22695,2392250.90351104,544715.5307294638,575
1609466400,2021-01-01 02:00:00,XRP/USD,0.22418,0.22540,0.22339,0.22404,0.22413,1340380.19923103,300298.77983571996,449
1609462800,2021-01-01 01:00:00,XRP/USD,0.22200,0.22790,0.22200,0.22409,0.22544,3829244.07566588,858095.304915967,835
1609459200,2021-01-01 00:00:00,XRP/USD,0.21994,0.22266,0.21601,0.22198,0.21895,3026104.61085618,671734.7015178549,681
1609455600,2020-12-31 23:00:00,XRP/USD,0.22384,0.22589,0.21795,0.21950,0.22082,2911245.74987191,639018.4420968842,622
1609452000,2020-12-31 22:00:00,XRP/USD,0.22525,0.22880,0.22026,0.22428,0.22393,2965451.24592723,665091.4054365591,860
1609448400,2020-12-31 21:00:00,XRP/USD,0.22199,0.22785,0.22137,0.22500,0.22485,5046878.64271269,1135547.6946103552,948
1609444800,2020-12-31 20:00:00,XRP/USD,0.21951,0.22588,0.21951,0.22149,0.22316,5386195.45084962,1192988.4304086822,991
1609441200,2020-12-31 19:00:00,XRP/USD,0.21838,0.22295,0.21830,0.21968,0.22021,2602584.38541419,571735.7377877892,547
1609437600,2020-12-31 18:00:00,XRP/USD,0.21829,0.21990,0.21659,0.21824,0.21824,1523818.53629575,332558.1573611845,447
1609434000,2020-12-31 17:00:00,XRP/USD,0.21651,0.22147,0.21483,0.21850,0.21890,2750607.54112650,601007.7477361403,570
1609430400,2020-12-31 16:00:00,XRP/USD,0.21546,0.22239,0.21392,0.21674,0.21808,2081827.17280553,451215.22143387055,761
1609426800,2020-12-31 15:00:00,XRP/USD,0.21387,0.21990,0.21372,0.21553,0.21627,2394033.52575393,515986.0458057446,544
1609423200,2020-12-31 14:00:00,XRP/USD,0.21414,0.21615,0.21013,0.21387,0.21322,1725987.08324742,369136.8574941257,496
1609419600,2020-12-31 13:00:00,XRP/USD,0.21467,0.21550,0.20792,0.21418,0.21273,2411982.54607688,516598.42171874613,741
1609416000,2020-12-31 12:00:00,XRP/USD,0.22064,0.22429,0.21062,0.21522,0.21711,2738209.80876594,589317.5150426056,712
1609412400,2020-12-31 11:00:00,XRP/USD,0.22327,0.22416,0.21925,0.22035,0.22077,2695555.91085383,593965.7449566415,517
1609408800,2020-12-31 10:00:00,XRP/USD,0.21632,0.22927,0.21632,0.22364,0.22371,4098272.10181468,916537.572849835,1101
1609405200,2020-12-31 09:00:00,XRP/USD,0.21578,0.21651,0.21354,0.21612,0.21537,837441.55534030,180987.86894014562,242
1609401600,2020-12-31 08:00:00,XRP/USD,0.21734,0.21958,0.21501,0.21598,0.21684,1153630.95763243,249161.21422945222,395
1609398000,2020-12-31 07:00:00,XRP/USD,0.21321,0.21996,0.21321,0.21736,0.21671,3434994.81182813,746630.4722989623,520
1609394400,2020-12-31 06:00:00,XRP/USD,0.21118,0.21463,0.21033,0.21320,0.21278,1003869.38952552,214024.95384684086,304
1609390800,2020-12-31 05:00:00,XRP/USD,0.21474,0.21593,0.21079,0.21167,0.21332,1241409.07439369,262769.0587769124,434
1609387200,2020-12-31 04:00:00,XRP/USD,0.21500,0.21771,0.21199,0.21450,0.21550,1585842.52943749,340163.2225643416,531
1609383600,2020-12-31 03:00:00,XRP/USD,0.21763,0.21763,0.21337,0.21500,0.21505,905345.72068897,194649.32994812852,437
1609380000,2020-12-31 02:00:00,XRP/USD,0.21125,0.21919,0.21108,0.21758,0.21498,3984970.88931951,867049.9660981391,1074
1609376400,2020-12-31 01:00:00,XRP/USD,0.21096,0.21297,0.20520,0.21201,0.20847,4849477.08478527,1028137.636745325,1066
1609372800,2020-12-31 00:00:00,XRP/USD,0.21142,0.21532,0.20761,0.21096,0.21126,2888044.71530310,609261.913140342,860
1609369200,2020-12-30 23:00:00,XRP/USD,0.21407,0.21626,0.20855,0.21138,0.21187,3470196.10743002,733530.0531885576,1002
1609365600,2020-12-30 22:00:00,XRP/USD,0.20954,0.22071,0.20818,0.21426,0.21540,4178866.93761409,895364.030053195,1283
1609362000,2020-12-30 21:00:00,XRP/USD,0.20863,0.21100,0.20513,0.20895,0.20808,2927795.41590124,611762.8521525641,939
1609358400,2020-12-30 20:00:00,XRP/USD,0.21427,0.21455,0.19854,0.20831,0.20410,13283102.53874783,2767003.0898465603,2981
1609354800,2020-12-30 19:00:00,XRP/USD,0.21610,0.21682,0.20521,0.21427,0.21199,7673154.11705467,1644126.732661304,1785
1609351200,2020-12-30 18:00:00,XRP/USD,0.21971,0.22099,0.21101,0.21545,0.21587,5870447.07679697,1264787.8226959072,1183
1609347600,2020-12-30 17:00:00,XRP/USD,0.22283,0.22510,0.21440,0.21979,0.21912,8471288.70746023,1861904.545012684,1600
1609344000,2020-12-30 16:00:00,XRP/USD,0.23180,0.23739,0.22046,0.22253,0.22668,7269312.28999181,1617640.0638918774,1760
1609340400,2020-12-30 15:00:00,XRP/USD,0.22493,0.23475,0.22252,0.23058,0.22867,8218945.05160608,1895124.3499993298,1778
